,baseline,sleeve25,sleeve50,sleeve75,staged50,full_switch
2018-09-18,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494
2018-09-19,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603
2018-09-20,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713
2018-09-21,101212.37011856727,101212.37011856727,101212.37011856727,101212.37011856727,101212.37011856727,101212.37011856727
2018-09-25,100930.14634522356,100930.14634522356,100930.14634522356,100930.14634522356,100930.14634522356,100930.14634522356
2018-09-26,101738.72160268482,101738.72160268482,101738.72160268482,101738.72160268482,101738.72160268482,101738.72160268482
2018-09-27,101456.38846842574,101456.38846842574,101456.38846842574,101456.38846842574,101456.38846842574,101456.38846842574
2018-09-28,102886.93481946518,102886.93481946518,102886.93481946518,102886.93481946518,102886.93481946518,102886.93481946518
2018-10-08,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376
2018-10-09,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376
2018-10-10,99555.73427343897,99555.73427343897,99555.73427343897,99555.73427343897,99555.73427343897,99555.73427343897
2018-10-11,95808.13908839753,95808.13908839753,95808.13908839753,95808.13908839753,95808.13908839753,95808.13908839753
2018-10-12,97416.23070540244,97416.23070540244,97416.23070540244,97416.23070540244,97416.23070540244,97416.23070540244
2018-10-15,96800.89111528106,96800.89111528106,96800.89111528106,96800.89111528106,96800.89111528106,96800.89111528106
2018-10-16,96954.88703520519,96954.88703520519,96954.88703520519,96954.88703520519,96954.88703520519,96954.88703520519
2018-10-17,97104.47638333612,97104.47638333612,97104.47638333612,97104.47638333612,97104.47638333612,97104.47638333612
2018-10-18,97107.49268470598,97107.49268470598,97107.49268470598,97107.49268470598,97107.49268470598,97107.49268470598
2018-10-19,97110.50898607585,97110.50898607585,97110.50898607585,97110.50898607585,97110.50898607585,97110.50898607585
2018-10-22,97121.49789018543,97121.49789018543,97121.49789018543,97121.49789018543,97121.49789018543,97121.49789018543
2018-10-23,97124.5141915553,97124.5141915553,97124.5141915553,97124.5141915553,97124.5141915553,97124.5141915553
2018-10-24,97127.53049292516,97127.53049292516,97127.53049292516,97127.53049292516,97127.53049292516,97127.53049292516
2018-10-25,97130.54679429502,97130.54679429502,97130.54679429502,97130.54679429502,97130.54679429502,97130.54679429502
2018-10-26,97133.56309566488,97133.56309566488,97133.56309566488,97133.56309566488,97133.56309566488,97133.56309566488
2018-10-29,97144.55199977447,97144.55199977447,97144.55199977447,97144.55199977447,97144.55199977447,97144.55199977447
2018-10-30,97147.56830114433,97147.56830114433,97147.56830114433,97147.56830114433,97147.56830114433,97147.56830114433
2018-10-31,97150.5846025142,97150.5846025142,97150.5846025142,97150.5846025142,97150.5846025142,97150.5846025142
2018-11-01,97153.60090388406,97153.60090388406,97153.60090388406,97153.60090388406,97153.60090388406,97153.60090388406
2018-11-02,97156.61720525392,97156.61720525392,97156.61720525392,97156.61720525392,97156.61720525392,97156.61720525392
2018-11-05,97167.6061093635,97167.6061093635,97167.6061093635,97167.6061093635,97167.6061093635,97167.6061093635
2018-11-06,96851.70036823169,96851.70036823169,96851.70036823169,96851.70036823169,96851.70036823169,96851.70036823169
2018-11-07,96396.49355049666,96396.49355049666,96396.49355049666,96396.49355049666,96396.49355049666,96396.49355049666
2018-11-08,97189.69515796239,97189.69515796239,97189.69515796239,97189.69515796239,97189.69515796239,97189.69515796239
2018-11-09,94215.19208486612,94215.19208486612,94215.19208486612,94215.19208486612,94215.19208486612,94215.19208486612
2018-11-12,93943.14977467107,93943.14977467107,93943.14977467107,93943.14977467107,93943.14977467107,93943.14977467107
2018-11-13,93608.37400158298,93608.37400158298,93608.37400158298,93608.37400158298,93608.37400158298,93608.37400158298
2018-11-14,93611.2659193912,93611.2659193912,93611.2659193912,93611.2659193912,93611.2659193912,93611.2659193912
2018-11-15,93614.15783719941,93614.15783719941,93614.15783719941,93614.15783719941,93614.15783719941,93614.15783719941
2018-11-16,93617.04975500763,93617.04975500763,93617.04975500763,93617.04975500763,93617.04975500763,93617.04975500763
2018-11-19,93627.58550843228,93627.58550843228,93627.58550843228,93627.58550843228,93627.58550843228,93627.58550843228
2018-11-20,93630.4774262405,93630.4774262405,93630.4774262405,93630.4774262405,93630.4774262405,93630.4774262405
2018-11-21,93633.36934404871,93633.36934404871,93633.36934404871,93633.36934404871,93633.36934404871,93633.36934404871
2018-11-22,93636.26126185693,93636.26126185693,93636.26126185693,93636.26126185693,93636.26126185693,93636.26126185693
2018-11-23,93639.15317966514,93639.15317966514,93639.15317966514,93639.15317966514,93639.15317966514,93639.15317966514
2018-11-26,93649.6889330898,93649.6889330898,93649.6889330898,93649.6889330898,93649.6889330898,93649.6889330898
2018-11-27,93652.58085089801,93652.58085089801,93652.58085089801,93652.58085089801,93652.58085089801,93652.58085089801
2018-11-28,93655.47276870623,93655.47276870623,93655.47276870623,93655.47276870623,93655.47276870623,93655.47276870623
2018-11-29,93658.36468651444,93658.36468651444,93658.36468651444,93658.36468651444,93658.36468651444,93658.36468651444
2018-11-30,93661.25660432265,93661.25660432265,93661.25660432265,93661.25660432265,93661.25660432265,93661.25660432265
2018-12-03,93671.79235774731,93671.79235774731,93671.79235774731,93671.79235774731,93671.79235774731,93671.79235774731
2018-12-04,93674.68427555553,93674.68427555553,93674.68427555553,93674.68427555553,93674.68427555553,93674.68427555553
2018-12-05,93677.57619336374,93677.57619336374,93677.57619336374,93677.57619336374,93677.57619336374,93677.57619336374
2018-12-06,93680.46811117195,93680.46811117195,93680.46811117195,93680.46811117195,93680.46811117195,93680.46811117195
2018-12-07,93683.36002898017,93683.36002898017,93683.36002898017,93683.36002898017,93683.36002898017,93683.36002898017
2018-12-10,93693.89578240483,93693.89578240483,93693.89578240483,93693.89578240483,93693.89578240483,93693.89578240483
2018-12-11,93696.78770021304,93696.78770021304,93696.78770021304,93696.78770021304,93696.78770021304,93696.78770021304
2018-12-12,93699.67961802126,93699.67961802126,93699.67961802126,93699.67961802126,93699.67961802126,93699.67961802126
2018-12-13,93702.57153582947,93702.57153582947,93702.57153582947,93702.57153582947,93702.57153582947,93702.57153582947
2018-12-14,93705.46345363768,93705.46345363768,93705.46345363768,93705.46345363768,93705.46345363768,93705.46345363768
2018-12-17,93715.99920706234,93715.99920706234,93715.99920706234,93715.99920706234,93715.99920706234,93715.99920706234
2018-12-18,93718.89112487056,93718.89112487056,93718.89112487056,93718.89112487056,93718.89112487056,93718.89112487056
2018-12-19,93721.78304267877,93721.78304267877,93721.78304267877,93721.78304267877,93721.78304267877,93721.78304267877
2018-12-20,93724.67496048698,93724.67496048698,93724.67496048698,93724.67496048698,93724.67496048698,93724.67496048698
2018-12-21,93727.5668782952,93727.5668782952,93727.5668782952,93727.5668782952,93727.5668782952,93727.5668782952
2018-12-24,93738.10263171986,93738.10263171986,93738.10263171986,93738.10263171986,93738.10263171986,93738.10263171986
2018-12-25,93740.99454952807,93740.99454952807,93740.99454952807,93740.99454952807,93740.99454952807,93740.99454952807
2018-12-26,93743.88646733628,93743.88646733628,93743.88646733628,93743.88646733628,93743.88646733628,93743.88646733628
2018-12-27,93746.7783851445,93746.7783851445,93746.7783851445,93746.7783851445,93746.7783851445,93746.7783851445
2018-12-28,93749.67030295271,93749.67030295271,93749.67030295271,93749.67030295271,93749.67030295271,93749.67030295271
2019-01-02,93767.84989199381,93767.84989199381,93767.84989199381,93767.84989199381,93767.84989199381,93767.84989199381
2019-01-03,93770.74180980203,93770.74180980203,93770.74180980203,93770.74180980203,93770.74180980203,93770.74180980203
2019-01-04,93773.63372761024,93773.63372761024,93773.63372761024,93773.63372761024,93773.63372761024,93773.63372761024
2019-01-07,93784.1694810349,93784.1694810349,93784.1694810349,93784.1694810349,93784.1694810349,93784.1694810349
2019-01-08,93787.06139884311,93787.06139884311,93787.06139884311,93787.06139884311,93787.06139884311,93787.06139884311
2019-01-09,93789.95331665133,93789.95331665133,93789.95331665133,93789.95331665133,93789.95331665133,93789.95331665133
2019-01-10,93792.84523445954,93792.84523445954,93792.84523445954,93792.84523445954,93792.84523445954,93792.84523445954
2019-01-11,93795.73715226776,93795.73715226776,93795.73715226776,93795.73715226776,93795.73715226776,93795.73715226776
2019-01-14,93806.27290569241,93806.27290569241,93806.27290569241,93806.27290569241,93806.27290569241,93806.27290569241
2019-01-15,93809.16482350063,93809.16482350063,93809.16482350063,93809.16482350063,93809.16482350063,93809.16482350063
2019-01-16,93812.05674130884,93812.05674130884,93812.05674130884,93812.05674130884,93812.05674130884,93812.05674130884
2019-01-17,93814.94865911706,93814.94865911706,93814.94865911706,93814.94865911706,93814.94865911706,93814.94865911706
2019-01-18,93817.84057692527,93817.84057692527,93817.84057692527,93817.84057692527,93817.84057692527,93817.84057692527
2019-01-21,93828.37633034993,93828.37633034993,93828.37633034993,93828.37633034993,93828.37633034993,93828.37633034993
2019-01-22,93831.26824815814,93831.26824815814,93831.26824815814,93831.26824815814,93831.26824815814,93831.26824815814
2019-01-23,93834.16016596636,93834.16016596636,93834.16016596636,93834.16016596636,93834.16016596636,93834.16016596636
2019-01-24,93837.05208377457,93837.05208377457,93837.05208377457,93837.05208377457,93837.05208377457,93837.05208377457
2019-01-25,93839.94400158279,93839.94400158279,93839.94400158279,93839.94400158279,93839.94400158279,93839.94400158279
2019-01-28,93733.94731142982,93733.94731142982,93733.94731142982,93733.94731142982,93733.94731142982,93733.94731142982
2019-01-29,94083.33812410972,94083.33812410972,94083.33812410972,94083.33812410972,94083.33812410972,94083.33812410972
2019-01-30,93762.64077532201,93762.64077532201,93762.64077532201,93762.64077532201,93762.64077532201,93762.64077532201
2019-01-31,94518.03684893351,94518.03684893351,94518.03684893351,94518.03684893351,94518.03684893351,94518.03684893351
2019-02-01,95734.17919044603,95734.17919044603,95734.17919044603,95734.17919044603,95734.17919044603,95734.17919044603
2019-02-11,96587.678376485,96587.678376485,96587.678376485,96587.678376485,96587.678376485,96587.678376485
2019-02-12,97668.77463226426,97668.77463226426,97668.77463226426,97668.77463226426,97668.77463226426,97668.77463226426
2019-02-13,99432.67566328157,99432.67566328157,99432.67566328157,99432.67566328157,99432.67566328157,99432.67566328157
2019-02-14,99717.17539196124,99717.17539196124,99717.17539196124,99717.17539196124,99717.17539196124,99717.17539196124
2019-02-15,97498.08022146333,97498.08022146333,97498.08022146333,97498.08022146333,97498.08022146333,97498.08022146333
2019-02-18,100912.07696561921,100912.07696561921,100912.07696561921,100912.07696561921,100912.07696561921,100912.07696561921
2019-02-19,100684.4798958789,100684.4798958789,100684.4798958789,100684.4798958789,100684.4798958789,100684.4798958789
2019-02-20,100855.17430667985,100855.17430667985,100855.17430667985,100855.17430667985,100855.17430667985,100855.17430667985
2019-02-21,99830.97392683137,99830.97392683137,99830.97392683137,99830.97392683137,99830.97392683137,99830.97392683137
2019-02-22,101424.17376403917,101424.17376403917,101424.17376403917,101424.17376403917,101424.17376403917,101424.17376403917
2019-02-25,106303.47398277231,106303.47398277231,106303.47398277231,106303.47398277231,106303.47398277231,106303.47398277231
2019-02-26,105722.19282247082,105722.19282247082,105722.19282247082,105722.19282247082,105722.19282247082,105722.19282247082
2019-02-27,105533.68834572921,105533.68834572921,105533.68834572921,105533.68834572921,105533.68834572921,105533.68834572921
2019-02-28,105501.28658079478,105501.28658079478,105501.28658079478,105501.28658079478,105501.28658079478,105501.28658079478
2019-03-01,105504.55164928794,105504.55164928794,105504.55164928794,105504.55164928794,105504.55164928794,105504.55164928794
2019-03-04,105516.44685476739,105516.44685476739,105516.44685476739,105516.44685476739,105516.44685476739,105516.44685476739
2019-03-05,105519.71192326055,105519.71192326055,105519.71192326055,105519.71192326055,105519.71192326055,105519.71192326055
2019-03-06,105522.9769917537,105522.9769917537,105522.9769917537,105522.9769917537,105522.9769917537,105522.9769917537
2019-03-07,105526.24206024686,105526.24206024686,105526.24206024686,105526.24206024686,105526.24206024686,105526.24206024686
2019-03-08,105529.50712874002,105529.50712874002,105529.50712874002,105529.50712874002,105529.50712874002,105529.50712874002
2019-03-11,105541.40233421947,105541.40233421947,105541.40233421947,105541.40233421947,105541.40233421947,105541.40233421947
2019-03-12,105544.66740271263,105544.66740271263,105544.66740271263,105544.66740271263,105544.66740271263,105544.66740271263
2019-03-13,105547.93247120579,105547.93247120579,105547.93247120579,105547.93247120579,105547.93247120579,105547.93247120579
2019-03-14,105551.19753969894,105551.19753969894,105551.19753969894,105551.19753969894,105551.19753969894,105551.19753969894
2019-03-15,105554.4626081921,105554.4626081921,105554.4626081921,105554.4626081921,105554.4626081921,105554.4626081921
2019-03-18,105566.35781367155,105566.35781367155,105566.35781367155,105566.35781367155,105566.35781367155,105566.35781367155
2019-03-19,105569.62288216471,105569.62288216471,105569.62288216471,105569.62288216471,105569.62288216471,105569.62288216471
2019-03-20,105572.88795065787,105572.88795065787,105572.88795065787,105572.88795065787,105572.88795065787,105572.88795065787
2019-03-21,105576.15301915102,105576.15301915102,105576.15301915102,105576.15301915102,105576.15301915102,105576.15301915102
2019-03-22,105579.41808764418,105579.41808764418,105579.41808764418,105579.41808764418,105579.41808764418,105579.41808764418
2019-03-25,105591.31329312363,105591.31329312363,105591.31329312363,105591.31329312363,105591.31329312363,105591.31329312363
2019-03-26,105594.57836161679,105594.57836161679,105594.57836161679,105594.57836161679,105594.57836161679,105594.57836161679
2019-03-27,105597.84343010995,105597.84343010995,105597.84343010995,105597.84343010995,105597.84343010995,105597.84343010995
2019-03-28,105601.1084986031,105601.1084986031,105601.1084986031,105601.1084986031,105601.1084986031,105601.1084986031
2019-03-29,105604.37356709626,105604.37356709626,105604.37356709626,105604.37356709626,105604.37356709626,105604.37356709626
2019-04-01,105616.26877257571,105616.26877257571,105616.26877257571,105616.26877257571,105616.26877257571,105616.26877257571
2019-04-02,105619.53384106887,105619.53384106887,105619.53384106887,105619.53384106887,105619.53384106887,105619.53384106887
2019-04-03,105622.79890956203,105622.79890956203,105622.79890956203,105622.79890956203,105622.79890956203,105622.79890956203
2019-04-04,105626.06397805519,105626.06397805519,105626.06397805519,105626.06397805519,105626.06397805519,105626.06397805519
2019-04-08,105642.27425202778,105642.27425202778,105642.27425202778,105642.27425202778,105642.27425202778,105642.27425202778
2019-04-09,105645.53932052094,105645.53932052094,105645.53932052094,105645.53932052094,105645.53932052094,105645.53932052094
2019-04-10,105648.8043890141,105648.8043890141,105648.8043890141,105648.8043890141,105648.8043890141,105648.8043890141
2019-04-11,105652.06945750726,105652.06945750726,105652.06945750726,105652.06945750726,105652.06945750726,105652.06945750726
2019-04-12,105655.33452600041,105655.33452600041,105655.33452600041,105655.33452600041,105655.33452600041,105655.33452600041
2019-04-15,105667.22973147986,105667.22973147986,105667.22973147986,105667.22973147986,105667.22973147986,105667.22973147986
2019-04-16,105670.49479997302,105670.49479997302,105670.49479997302,105670.49479997302,105670.49479997302,105670.49479997302
2019-04-17,105673.75986846618,105673.75986846618,105673.75986846618,105673.75986846618,105673.75986846618,105673.75986846618
2019-04-18,105677.02493695934,105677.02493695934,105677.02493695934,105677.02493695934,105677.02493695934,105677.02493695934
2019-04-19,105680.2900054525,105680.2900054525,105680.2900054525,105680.2900054525,105680.2900054525,105680.2900054525
2019-04-22,105692.18521093194,105692.18521093194,105692.18521093194,105692.18521093194,105692.18521093194,105692.18521093194
2019-04-23,105695.4502794251,105695.4502794251,105695.4502794251,105695.4502794251,105695.4502794251,105695.4502794251
2019-04-24,105698.71534791826,105698.71534791826,105698.71534791826,105698.71534791826,105698.71534791826,105698.71534791826
2019-04-25,105701.98041641142,105701.98041641142,105701.98041641142,105701.98041641142,105701.98041641142,105701.98041641142
2019-04-26,105705.24548490458,105705.24548490458,105705.24548490458,105705.24548490458,105705.24548490458,105705.24548490458
2019-04-29,105717.14069038403,105717.14069038403,105717.14069038403,105717.14069038403,105717.14069038403,105717.14069038403
2019-04-30,105720.40575887718,105720.40575887718,105720.40575887718,105720.40575887718,105720.40575887718,105720.40575887718
2019-05-06,105745.24616983609,105745.24616983609,105745.24616983609,105745.24616983609,105745.24616983609,105745.24616983609
2019-05-07,105748.51123832924,105748.51123832924,105748.51123832924,105748.51123832924,105748.51123832924,105748.51123832924
2019-05-08,105751.7763068224,105751.7763068224,105751.7763068224,105751.7763068224,105751.7763068224,105751.7763068224
2019-05-09,105755.04137531556,105755.04137531556,105755.04137531556,105755.04137531556,105755.04137531556,105755.04137531556
2019-05-10,105758.30644380872,105758.30644380872,105758.30644380872,105758.30644380872,105758.30644380872,105758.30644380872
2019-05-13,105770.20164928817,105770.20164928817,105770.20164928817,105770.20164928817,105770.20164928817,105770.20164928817
2019-05-14,105773.46671778132,105773.46671778132,105773.46671778132,105773.46671778132,105773.46671778132,105773.46671778132
2019-05-15,105776.73178627448,105776.73178627448,105776.73178627448,105776.73178627448,105776.73178627448,105776.73178627448
2019-05-16,105779.99685476764,105779.99685476764,105779.99685476764,105779.99685476764,105779.99685476764,105779.99685476764
2019-05-17,105783.2619232608,105783.2619232608,105783.2619232608,105783.2619232608,105783.2619232608,105783.2619232608
2019-05-20,105364.61944188886,105364.61944188886,105364.61944188886,105364.61944188886,105364.61944188886,105364.61944188886
2019-05-21,104907.4185153466,104907.4185153466,104907.4185153466,104907.4185153466,104907.4185153466,104907.4185153466
2019-05-22,105136.02238502319,105136.02238502319,105136.02238502319,105136.02238502319,105136.02238502319,105136.02238502319
2019-05-23,104335.91906037147,104335.91906037147,104335.91906037147,104335.91906037147,104335.91906037147,104335.91906037147
2019-05-24,103764.41960539635,103764.41960539635,103764.41960539635,103764.41960539635,103764.41960539635,103764.41960539635
2019-05-27,103453.49327637925,103453.49327637925,103453.49327637925,103453.49327637925,103453.49327637925,103453.49327637925
2019-05-28,103456.69615309157,103456.69615309157,103456.69615309157,103456.69615309157,103456.69615309157,103456.69615309157
2019-05-29,103459.8990298039,103459.8990298039,103459.8990298039,103459.8990298039,103459.8990298039,103459.8990298039
2019-05-30,103463.10190651623,103463.10190651623,103463.10190651623,103463.10190651623,103463.10190651623,103463.10190651623
2019-05-31,103466.30478322855,103466.30478322855,103466.30478322855,103466.30478322855,103466.30478322855,103466.30478322855
2019-06-03,103477.97341336554,103477.97341336554,103477.97341336554,103477.97341336554,103477.97341336554,103477.97341336554
2019-06-04,103481.17629007787,103481.17629007787,103481.17629007787,103481.17629007787,103481.17629007787,103481.17629007787
2019-06-05,103484.3791667902,103484.3791667902,103484.3791667902,103484.3791667902,103484.3791667902,103484.3791667902
2019-06-06,103487.58204350252,103487.58204350252,103487.58204350252,103487.58204350252,103487.58204350252,103487.58204350252
2019-06-10,103503.48355035184,103503.48355035184,103503.48355035184,103503.48355035184,103503.48355035184,103503.48355035184
2019-06-11,103506.68642706417,103506.68642706417,103506.68642706417,103506.68642706417,103506.68642706417,103506.68642706417
2019-06-12,103509.8893037765,103509.8893037765,103509.8893037765,103509.8893037765,103509.8893037765,103509.8893037765
2019-06-13,102980.74229258526,102980.74229258526,102980.74229258526,102980.74229258526,102980.74229258526,102980.74229258526
2019-06-14,103426.33655566206,103426.33655566206,103426.33655566206,103426.33655566206,103426.33655566206,103426.33655566206
2019-06-17,103649.14032715786,103649.14032715786,103649.14032715786,103649.14032715786,103649.14032715786,103649.14032715786
2019-06-18,103426.33655566206,103426.33655566206,103426.33655566206,103426.33655566206,103426.33655566206,103426.33655566206
2019-06-19,104317.53836173045,104317.53836173045,104317.53836173045,104317.53836173045,104317.53836173045,104317.53836173045
2019-06-20,104449.07608552126,104449.07608552126,104449.07608552126,104449.07608552126,104449.07608552126,104449.07608552126
2019-06-21,104452.310058124,104452.310058124,104452.310058124,104452.310058124,104452.310058124,104452.310058124
2019-06-24,104464.09197593221,104464.09197593221,104464.09197593221,104464.09197593221,104464.09197593221,104464.09197593221
2019-06-25,104467.32594853496,104467.32594853496,104467.32594853496,104467.32594853496,104467.32594853496,104467.32594853496
2019-06-26,104470.5599211377,104470.5599211377,104470.5599211377,104470.5599211377,104470.5599211377,104470.5599211377
2019-06-27,104473.79389374044,104473.79389374044,104473.79389374044,104473.79389374044,104473.79389374044,104473.79389374044
2019-06-28,104477.02786634318,104477.02786634318,104477.02786634318,104477.02786634318,104477.02786634318,104477.02786634318
2019-07-01,104488.8097841514,104488.8097841514,104488.8097841514,104488.8097841514,104488.8097841514,104488.8097841514
2019-07-02,104179.51298902529,104179.51298902529,104179.51298902529,104179.51298902529,104179.51298902529,104179.51298902529
2019-07-03,104507.70876358052,104507.70876358052,104507.70876358052,104507.70876358052,104507.70876358052,104507.70876358052
2019-07-04,105382.910537224,105382.910537224,105382.910537224,105382.910537224,105382.910537224,105382.910537224
2019-07-05,105164.1133541872,105164.1133541872,105164.1133541872,105164.1133541872,105164.1133541872,105164.1133541872
2019-07-08,104617.10735509891,104617.10735509891,104617.10735509891,104617.10735509891,104617.10735509891,104617.10735509891
2019-07-09,104194.36239542646,104194.36239542646,104194.36239542646,104194.36239542646,104194.36239542646,104194.36239542646
2019-07-10,104197.5963680292,104197.5963680292,104197.5963680292,104197.5963680292,104197.5963680292,104197.5963680292
2019-07-11,104200.83034063195,104200.83034063195,104200.83034063195,104200.83034063195,104200.83034063195,104200.83034063195
2019-07-12,104204.06431323469,104204.06431323469,104204.06431323469,104204.06431323469,104204.06431323469,104204.06431323469
2019-07-15,104215.8462310429,104215.8462310429,104215.8462310429,104215.8462310429,104215.8462310429,104215.8462310429
2019-07-16,104219.08020364564,104219.08020364564,104219.08020364564,104219.08020364564,104219.08020364564,104219.08020364564
