,rich,no_dde,specific,joint,joint_valid,without_weak_edge_filter,without_emerging_trend,without_quality_extension,without_hot_exit_protection,without_all
2018-08-13,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554
2018-08-14,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664
2018-08-15,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773
2018-08-16,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883
2018-08-17,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992
2018-08-20,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232
2018-08-21,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643
2018-08-22,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054
2018-08-23,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649
2018-08-24,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758
2018-08-27,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086
2018-08-28,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196
2018-08-29,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305
2018-08-30,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415
2018-08-31,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524
2018-09-03,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853
2018-09-04,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962
2018-09-05,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071
2018-09-06,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181
2018-09-07,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629
2018-09-10,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619
2018-09-11,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728
2018-09-12,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837
2018-09-13,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947
2018-09-14,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056
2018-09-17,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385
2018-09-18,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494
2018-09-19,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603
2018-09-20,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713
2018-09-21,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698,101210.54063610698
2018-09-25,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889,100878.31449645889
2018-09-26,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772,101662.99307165772
2018-09-27,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381,101477.99349558381
2018-09-28,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946,102915.38959469946
2018-10-08,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073,99063.68954506073
2018-10-09,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803,99167.79440965803
2018-10-10,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324,99584.18904867324
2018-10-11,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802,95732.49520387802
2018-10-12,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494,97341.59254536494
2018-10-15,96777.9630959091,96777.9630959091,96777.9630959091,96777.9630959091,96934.17744393428,96934.17744393428,96934.17744393428,96934.17744393428,96934.17744393428,96934.17744393428
2018-10-16,96901.83541747005,96901.83541747005,96901.83541747005,96901.83541747005,96986.63255929458,96986.63255929458,96986.63255929458,96986.63255929458,96986.63255929458,96986.63255929458
2018-10-17,97029.35691439369,97029.35691439369,97029.35691439369,97029.35691439369,96888.85306301092,96888.85306301092,96888.85306301092,96888.85306301092,96888.85306301092,96888.85306301092
2018-10-18,97032.37321576355,97032.37321576355,97032.37321576355,97032.37321576355,96995.64532222722,96995.64532222722,96995.64532222722,96995.64532222722,96995.64532222722,96995.64532222722
2018-10-19,97035.38951713342,97035.38951713342,97035.38951713342,97035.38951713342,97422.84830989812,97422.84830989812,97422.84830989812,97422.84830989812,97422.84830989812,97422.84830989812
2018-10-22,97046.378421243,97046.378421243,97046.378421243,97046.378421243,97280.45014324163,97280.45014324163,97280.45014324163,97280.45014324163,97280.45014324163,97280.45014324163
2018-10-23,97049.39472261287,97049.39472261287,97049.39472261287,97049.39472261287,97778.84797039007,97778.84797039007,97778.84797039007,97778.84797039007,97778.84797039007,97778.84797039007
2018-10-24,97052.41102398273,97052.41102398273,97052.41102398273,97052.41102398273,97814.44539012884,97814.44539012884,97814.44539012884,97814.44539012884,97814.44539012884,97814.44539012884
2018-10-25,97055.42732535259,97055.42732535259,97055.42732535259,97055.42732535259,98312.85170497869,98312.85170497869,98312.85170497869,98312.85170497869,98312.85170497869,98312.85170497869
2018-10-26,97058.44362672245,97058.44362672245,97058.44362672245,97058.44362672245,98241.64837779973,98241.64837779973,98241.64837779973,98241.64837779973,98241.64837779973,98241.64837779973
2018-10-29,97069.43253083204,97069.43253083204,97069.43253083204,97069.43253083204,98099.25021114324,98099.25021114324,98099.25021114324,98099.25021114324,98099.25021114324,98099.25021114324
2018-10-30,97072.4488322019,97072.4488322019,97072.4488322019,97072.4488322019,97885.64871730779,97885.64871730779,97885.64871730779,97885.64871730779,97885.64871730779,97885.64871730779
2018-10-31,97075.46513357176,97075.46513357176,97075.46513357176,97075.46513357176,97066.84864940618,97066.84864940618,97066.84864940618,97066.84864940618,97066.84864940618,97066.84864940618
2018-11-01,97078.48143494163,97078.48143494163,97078.48143494163,97078.48143494163,97280.45014324163,97280.45014324163,97280.45014324163,97280.45014324163,97280.45014324163,97280.45014324163
2018-11-02,97081.49773631149,97081.49773631149,97081.49773631149,97081.49773631149,97316.0475629804,97316.0475629804,97316.0475629804,97316.0475629804,97316.0475629804,97316.0475629804
2018-11-05,97092.48664042108,97092.48664042108,97092.48664042108,97092.48664042108,97351.65347042058,97351.65347042058,97351.65347042058,97351.65347042058,97351.65347042058,97351.65347042058
2018-11-06,96776.58089928924,96776.58089928924,96776.58089928924,96776.58089928924,97422.84830989812,97422.84830989812,97422.84830989812,97422.84830989812,97422.84830989812,97422.84830989812
2018-11-07,96223.19501006234,96223.19501006234,96223.19501006234,96223.19501006234,97458.4457296369,97458.4457296369,97458.4457296369,97458.4457296369,97458.4457296369,97458.4457296369
2018-11-08,97015.19071423638,97015.19071423638,97015.19071423638,97015.19071423638,97066.84864940618,97066.84864940618,97066.84864940618,97066.84864940618,97066.84864940618,97066.84864940618
2018-11-09,94045.19354664913,94045.19354664913,94045.19354664913,94045.19354664913,96853.24715557073,96853.24715557073,96853.24715557073,96853.24715557073,96853.24715557073,96853.24715557073
2018-11-12,93871.84995679001,93871.84995679001,93871.84995679001,93871.84995679001,96141.24783458684,96141.24783458684,96141.24783458684,96141.24783458684,96141.24783458684,96141.24783458684
2018-11-13,93502.94037999163,93502.94037999163,93502.94037999163,93502.94037999163,96662.93428603653,96662.93428603653,96662.93428603653,96662.93428603653,96662.93428603653,96662.93428603653
2018-11-14,93505.83229779985,93505.83229779985,93505.83229779985,93505.83229779985,95371.0511668522,95371.0511668522,95371.0511668522,95371.0511668522,95371.0511668522,95371.0511668522
2018-11-15,93508.72421560806,93508.72421560806,93508.72421560806,93508.72421560806,96280.95150430984,96280.95150430984,96280.95150430984,96280.95150430984,96280.95150430984,96280.95150430984
2018-11-16,93511.61613341628,93511.61613341628,93511.61613341628,93511.61613341628,96280.95150430984,96280.95150430984,96280.95150430984,96280.95150430984,96280.95150430984,96280.95150430984
2018-11-19,93522.15188684093,93522.15188684093,93522.15188684093,93522.15188684093,96668.8709834283,96668.8709834283,96668.8709834283,96668.8709834283,96668.8709834283,96668.8709834283
2018-11-20,93525.04380464915,93525.04380464915,93525.04380464915,93525.04380464915,96365.09547721426,96365.09547721426,96365.09547721426,96365.09547721426,96365.09547721426,96365.09547721426
2018-11-21,93527.93572245736,93527.93572245736,93527.93572245736,93527.93572245736,96368.0806826937,96368.0806826937,96368.0806826937,96368.0806826937,96368.0806826937,96368.0806826937
2018-11-22,93530.82764026558,93530.82764026558,93530.82764026558,93530.82764026558,96371.06588817315,96371.06588817315,96371.06588817315,96371.06588817315,96371.06588817315,96371.06588817315
2018-11-23,93533.71955807379,93533.71955807379,93533.71955807379,93533.71955807379,96374.0510936526,96374.0510936526,96374.0510936526,96374.0510936526,96374.0510936526,96374.0510936526
2018-11-26,93544.25531149845,93544.25531149845,93544.25531149845,93544.25531149845,96384.92671009095,96384.92671009095,96384.92671009095,96384.92671009095,96384.92671009095,96384.92671009095
2018-11-27,93547.14722930666,93547.14722930666,93547.14722930666,93547.14722930666,96387.9119155704,96387.9119155704,96387.9119155704,96387.9119155704,96387.9119155704,96387.9119155704
2018-11-28,93550.03914711488,93550.03914711488,93550.03914711488,93550.03914711488,96390.89712104984,96390.89712104984,96390.89712104984,96390.89712104984,96390.89712104984,96390.89712104984
2018-11-29,93552.93106492309,93552.93106492309,93552.93106492309,93552.93106492309,96393.88232652929,96393.88232652929,96393.88232652929,96393.88232652929,96393.88232652929,96393.88232652929
2018-11-30,93555.8229827313,93555.8229827313,93555.8229827313,93555.8229827313,96252.58330616153,96252.58330616153,96252.58330616153,96252.58330616153,96252.58330616153,96252.58330616153
2018-12-03,93566.35873615596,93566.35873615596,93566.35873615596,93566.35873615596,95830.18035205996,95830.18035205996,95830.18035205996,95830.18035205996,95830.18035205996,95830.18035205996
2018-12-04,93569.25065396418,93569.25065396418,93569.25065396418,93569.25065396418,95932.62823448589,95932.62823448589,95932.62823448589,95932.62823448589,95932.62823448589,95932.62823448589
2018-12-05,93572.14257177239,93572.14257177239,93572.14257177239,93572.14257177239,95935.58234407494,95935.58234407494,95935.58234407494,95935.58234407494,95935.58234407494,95935.58234407494
2018-12-06,93575.0344895806,93575.0344895806,93575.0344895806,93575.0344895806,95938.53645366398,95938.53645366398,95938.53645366398,95938.53645366398,95938.53645366398,95938.53645366398
2018-12-07,93577.92640738882,93577.92640738882,93577.92640738882,93577.92640738882,95941.49056325303,95941.49056325303,95941.49056325303,95941.49056325303,95941.49056325303,95941.49056325303
2018-12-10,93588.46216081348,93588.46216081348,93588.46216081348,93588.46216081348,95952.25289202016,95952.25289202016,95952.25289202016,95952.25289202016,95952.25289202016,95952.25289202016
2018-12-11,93591.35407862169,93591.35407862169,93591.35407862169,93591.35407862169,95955.2070016092,95955.2070016092,95955.2070016092,95955.2070016092,95955.2070016092,95955.2070016092
2018-12-12,93594.2459964299,93594.2459964299,93594.2459964299,93594.2459964299,95606.47542499166,95606.47542499166,95606.47542499166,95606.47542499166,95606.47542499166,95606.47542499166
2018-12-13,93597.13791423812,93597.13791423812,93597.13791423812,93597.13791423812,95537.07218192678,95537.07218192678,95537.07218192678,95537.07218192678,95537.07218192678,95537.07218192678
2018-12-14,93600.02983204633,93600.02983204633,93600.02983204633,93600.02983204633,95432.9714538918,95432.9714538918,95432.9714538918,95432.9714538918,95432.9714538918,95432.9714538918
2018-12-17,93610.56558547099,93610.56558547099,93610.56558547099,93610.56558547099,95467.6772119866,95467.6772119866,95467.6772119866,95467.6772119866,95467.6772119866,95467.6772119866
2018-12-18,93613.4575032792,93613.4575032792,93613.4575032792,93613.4575032792,95988.17257903676,95988.17257903676,95988.17257903676,95988.17257903676,95988.17257903676,95988.17257903676
2018-12-19,93616.34942108742,93616.34942108742,93616.34942108742,93616.34942108742,96300.47476314168,96300.47476314168,96300.47476314168,96300.47476314168,96300.47476314168,96300.47476314168
2018-12-20,93619.24133889563,93619.24133889563,93619.24133889563,93619.24133889563,96300.47476314168,96300.47476314168,96300.47476314168,96300.47476314168,96300.47476314168,96300.47476314168
2018-12-21,93622.13325670385,93622.13325670385,93622.13325670385,93622.13325670385,96925.07913135151,96925.07913135151,96925.07913135151,96925.07913135151,96925.07913135151,96925.07913135151
2018-12-24,93632.6690101285,93632.6690101285,93632.6690101285,93632.6690101285,97272.07880042653,97272.07880042653,97272.07880042653,97272.07880042653,97272.07880042653,97272.07880042653
2018-12-25,93635.56092793672,93635.56092793672,93635.56092793672,93635.56092793672,98035.47310851674,98035.47310851674,98035.47310851674,98035.47310851674,98035.47310851674,98035.47310851674
2018-12-26,93638.45284574493,93638.45284574493,93638.45284574493,93638.45284574493,98000.77562354665,98000.77562354665,98000.77562354665,98000.77562354665,98000.77562354665,98000.77562354665
2018-12-27,93641.34476355315,93641.34476355315,93641.34476355315,93641.34476355315,97653.77595447164,97653.77595447164,97653.77595447164,97653.77595447164,97653.77595447164,97653.77595447164
2018-12-28,93644.23668136136,93644.23668136136,93644.23668136136,93644.23668136136,98243.6745645867,98243.6745645867,98243.6745645867,98243.6745645867,98243.6745645867,98243.6745645867
2019-01-02,93662.41627040246,93662.41627040246,93662.41627040246,93662.41627040246,98625.37171863181,98625.37171863181,98625.37171863181,98625.37171863181,98625.37171863181,98625.37171863181
2019-01-03,93665.30818821068,93665.30818821068,93665.30818821068,93665.30818821068,99701.07648395162,99701.07648395162,99701.07648395162,99701.07648395162,99701.07648395162,99701.07648395162
2019-01-04,93668.20010601889,93668.20010601889,93668.20010601889,93668.20010601889,99180.57284377675,99180.57284377675,99180.57284377675,99180.57284377675,99180.57284377675,99180.57284377675
2019-01-07,93678.73585944355,93678.73585944355,93678.73585944355,93678.73585944355,98764.17820476156,98764.17820476156,98764.17820476156,98764.17820476156,98764.17820476156,98764.17820476156
2019-01-08,93681.62777725176,93681.62777725176,93681.62777725176,93681.62777725176,98313.07780765157,98313.07780765157,98313.07780765157,98313.07780765157,98313.07780765157,98313.07780765157
2019-01-09,93684.51969505998,93684.51969505998,93684.51969505998,93684.51969505998,97931.37238048177,97931.37238048177,97931.37238048177,97931.37238048177,97931.37238048177,97931.37238048177
2019-01-10,93687.41161286819,93687.41161286819,93687.41161286819,93687.41161286819,98139.57383655172,98139.57383655172,98139.57383655172,98139.57383655172,98139.57383655172,98139.57383655172
2019-01-11,93690.3035306764,93690.3035306764,93690.3035306764,93690.3035306764,97514.97774146657,97514.97774146657,97514.97774146657,97514.97774146657,97514.97774146657,97514.97774146657
2019-01-14,93700.83928410106,93700.83928410106,93700.83928410106,93700.83928410106,97584.37271140676,97584.37271140676,97584.37271140676,97584.37271140676,97584.37271140676,97584.37271140676
2019-01-15,93703.73120190928,93703.73120190928,93703.73120190928,93703.73120190928,97376.17952846151,97376.17952846151,97376.17952846151,97376.17952846151,97376.17952846151,97376.17952846151
2019-01-16,93706.6231197175,93706.6231197175,93706.6231197175,93706.6231197175,97369.0125280527,97369.0125280527,97369.0125280527,97369.0125280527,97369.0125280527,97369.0125280527
2019-01-17,93709.5150375257,93709.5150375257,93709.5150375257,93709.5150375257,97372.02882942256,97372.02882942256,97372.02882942256,97372.02882942256,97372.02882942256,97372.02882942256
2019-01-18,93712.40695533392,93712.40695533392,93712.40695533392,93712.40695533392,97375.04513079242,97375.04513079242,97375.04513079242,97375.04513079242,97375.04513079242,97375.04513079242
2019-01-21,93722.94270875858,93722.94270875858,93722.94270875858,93722.94270875858,97386.03403490201,97386.03403490201,97386.03403490201,97386.03403490201,97386.03403490201,97386.03403490201
2019-01-22,93725.8346265668,93725.8346265668,93725.8346265668,93725.8346265668,97389.05033627187,97389.05033627187,97389.05033627187,97389.05033627187,97389.05033627187,97389.05033627187
2019-01-23,93728.72654437501,93728.72654437501,93728.72654437501,93728.72654437501,97392.06663764174,97392.06663764174,97392.06663764174,97392.06663764174,97392.06663764174,97392.06663764174
2019-01-24,93731.61846218322,93731.61846218322,93731.61846218322,93731.61846218322,97249.30796389413,97249.30796389413,97249.30796389413,97249.30796389413,97249.30796389413,97249.30796389413
2019-01-25,93734.51037999144,93734.51037999144,93734.51037999144,93734.51037999144,97103.60294397548,97103.60294397548,97103.60294397548,97103.60294397548,97103.60294397548,97103.60294397548
2019-01-28,93745.0461334161,93745.0461334161,93745.0461334161,93745.0461334161,97114.59184808507,97114.59184808507,97114.59184808507,97114.59184808507,97114.59184808507,97114.59184808507
2019-01-29,93870.73917158153,93870.73917158153,93870.73917158153,93870.73917158153,97240.40926981215,97240.40926981215,97240.40926981215,97240.40926981215,97240.40926981215,97240.40926981215
2019-01-30,93809.30996885823,93809.30996885823,93809.30996885823,93809.30996885823,97179.10445065051,97179.10445065051,97179.10445065051,97179.10445065051,97179.10445065051,97179.10445065051
2019-01-31,93812.20188666644,93812.20188666644,93812.20188666644,93812.20188666644,97182.12075202038,97182.12075202038,97182.12075202038,97182.12075202038,97182.12075202038,97182.12075202038
2019-02-01,93815.09380447466,93815.09380447466,93815.09380447466,93815.09380447466,97185.13705339024,97185.13705339024,97185.13705339024,97185.13705339024,97185.13705339024,97185.13705339024
2019-02-11,95296.1672659493,95296.1672659493,95296.1672659493,95296.1672659493,98722.95888908312,98722.95888908312,98722.95888908312,98722.95888908312,98722.95888908312,98722.95888908312
2019-02-12,95987.3652334786,95987.3652334786,95987.3652334786,95987.3652334786,99440.55677898333,99440.55677898333,99440.55677898333,99440.55677898333,99440.55677898333,99440.55677898333
2019-02-13,97974.56539827352,97974.56539827352,97974.56539827352,97974.56539827352,101503.6569500725,101503.6569500725,101503.6569500725,101503.6569500725,101503.6569500725,101503.6569500725
2019-02-14,98089.7707815743,98089.7707815743,98089.7707815743,98089.7707815743,101623.26253898547,101623.26253898547,101623.26253898547,101623.26253898547,101623.26253898547,101623.26253898547
2019-02-15,96476.97094636923,96476.97094636923,96476.97094636923,96476.97094636923,99948.86271007464,99948.86271007464,99948.86271007464,99948.86271007464,99948.86271007464,99948.86271007464
2019-02-18,99270.56759553915,99270.56759553915,99270.56759553915,99270.56759553915,102849.15923126147,102849.15923126147,102849.15923126147,102849.15923126147,102849.15923126147,102849.15923126147
2019-02-19,99011.36578279501,99011.36578279501,99011.36578279501,99011.36578279501,102580.05734928057,102580.05734928057,102580.05734928057,102580.05734928057,102580.05734928057,102580.05734928057
2019-02-20,99270.56759553915,99270.56759553915,99270.56759553915,99270.56759553915,102849.15923126147,102849.15923126147,102849.15923126147,102849.15923126147,102849.15923126147,102849.15923126147
2019-02-21,99155.36907869345,99155.36907869345,99155.36907869345,99155.36907869345,102729.56077106402,102729.56077106402,102729.56077106402,102729.56077106402,102729.56077106402,102729.56077106402
2019-02-22,101804.96929842001,101804.96929842001,101804.96929842001,101804.96929842001,105480.36099918291,105480.36099918291,105480.36099918291,105480.36099918291,105480.36099918291,105480.36099918291
2019-02-25,108976.17138582237,108976.17138582237,108976.17138582237,108976.17138582237,112925.46316631245,112925.46316631245,112925.46316631245,112925.46316631245,112925.46316631245,112925.46316631245
2019-02-26,106528.17028718954,106528.17028718954,106528.17028718954,106528.17028718954,110383.96202571795,110383.96202571795,110383.96202571795,110383.96202571795,110383.96202571795,110383.96202571795
