,baseline,observed_breadth,no_dde,specific_mapping,live_schema,simple_price
2018-09-18,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494
2018-09-19,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603
2018-09-20,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713
2018-09-21,101212.37011856727,101212.37011856727,101212.37011856727,101212.37011856727,101212.37011856727,101212.37011856727
2018-09-25,100930.14634522356,100930.14634522356,100930.14634522356,100930.14634522356,100930.14634522356,100930.14634522356
2018-09-26,101738.72160268482,101738.72160268482,101738.72160268482,101738.72160268482,101738.72160268482,101738.72160268482
2018-09-27,101456.38846842574,101456.38846842574,101456.38846842574,101456.38846842574,101456.38846842574,101456.38846842574
2018-09-28,102886.93481946518,102886.93481946518,102886.93481946518,102886.93481946518,102886.93481946518,102886.93481946518
2018-10-08,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376
2018-10-09,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376,99139.33963442376
2018-10-10,99555.73427343897,99555.73427343897,99555.73427343897,99555.73427343897,99555.73427343897,99555.73427343897
2018-10-11,95808.13908839753,95808.13908839753,95808.13908839753,95808.13908839753,95808.13908839753,95808.13908839753
2018-10-12,97416.23070540244,97416.23070540244,97416.23070540244,97416.23070540244,97416.23070540244,97416.23070540244
2018-10-15,96800.89111528106,96957.10546330627,96800.89111528106,96800.89111528106,96800.89111528106,96957.10546330627
2018-10-16,96954.88703520519,97039.1748860808,96954.88703520519,96954.88703520519,96954.88703520519,97039.1748860808
2018-10-17,97104.47638333612,96962.6394844488,97104.47638333612,97104.47638333612,97104.47638333612,96962.6394844488
2018-10-18,97107.49268470598,97069.4317436651,97107.49268470598,97107.49268470598,97107.49268470598,97069.4317436651
2018-10-19,97110.50898607585,97496.634731336,97110.50898607585,97110.50898607585,97110.50898607585,97496.634731336
2018-10-22,97121.49789018543,97354.23656467951,97121.49789018543,97121.49789018543,97121.49789018543,97354.23656467951
2018-10-23,97124.5141915553,97852.63439182795,97124.5141915553,97124.5141915553,97124.5141915553,97852.63439182795
2018-10-24,97127.53049292516,97888.23181156671,97127.53049292516,97127.53049292516,97127.53049292516,97888.23181156671
2018-10-25,97130.54679429502,98386.63812641657,97130.54679429502,97130.54679429502,97130.54679429502,98386.63812641657
2018-10-26,97133.56309566488,98315.43479923761,97133.56309566488,97133.56309566488,97133.56309566488,98315.43479923761
2018-10-29,97144.55199977447,98173.03663258112,97144.55199977447,97144.55199977447,97144.55199977447,98173.03663258112
2018-10-30,97147.56830114433,97959.43513874567,97147.56830114433,97147.56830114433,97147.56830114433,97959.43513874567
2018-10-31,97150.5846025142,97140.63507084406,97150.5846025142,97150.5846025142,97150.5846025142,97140.63507084406
2018-11-01,97153.60090388406,97354.23656467951,97153.60090388406,97153.60090388406,97153.60090388406,97354.23656467951
2018-11-02,97156.61720525392,97389.83398441828,97156.61720525392,97156.61720525392,97156.61720525392,97389.83398441828
2018-11-05,97167.6061093635,97425.43989185846,97167.6061093635,97167.6061093635,97167.6061093635,97425.43989185846
2018-11-06,96851.70036823169,97496.634731336,96851.70036823169,96851.70036823169,96851.70036823169,97496.634731336
2018-11-07,96396.49355049666,97532.23215107477,96396.49355049666,96396.49355049666,96396.49355049666,97532.23215107477
2018-11-08,97189.69515796239,97140.63507084406,97189.69515796239,97189.69515796239,97189.69515796239,97140.63507084406
2018-11-09,94215.19208486612,96927.03357700861,94215.19208486612,94215.19208486612,94215.19208486612,96927.03357700861
2018-11-12,93943.14977467107,96215.03425602472,93943.14977467107,93943.14977467107,93943.14977467107,96215.03425602472
2018-11-13,93608.37400158298,96672.49692338845,93608.37400158298,93608.37400158298,93608.37400158298,96672.49692338845
2018-11-14,93611.2659193912,95481.74093412254,93611.2659193912,93611.2659193912,93611.2659193912,95481.74093412254
2018-11-15,93614.15783719941,96290.54257320259,93614.15783719941,93614.15783719941,93614.15783719941,96290.54257320259
2018-11-16,93617.04975500763,96290.54257320259,93617.04975500763,93617.04975500763,93617.04975500763,96290.54257320259
2018-11-19,93627.58550843228,97908.1398253331,93627.58550843228,93627.58550843228,93627.58550843228,97908.1398253331
2018-11-20,93630.4774262405,96290.54257320259,93630.4774262405,93630.4774262405,93630.4774262405,96737.29915574643
2018-11-21,93633.36934404871,95844.37671812164,93633.36934404871,93633.36934404871,93633.36934404871,96560.40538267317
2018-11-22,93636.26126185693,95863.516963747,93636.26126185693,93636.26126185693,93636.26126185693,96563.39058815262
2018-11-23,93639.15317966514,95866.47107333604,93639.15317966514,93639.15317966514,93639.15317966514,96566.37579363206
2018-11-26,93649.6889330898,95877.23340210317,93649.6889330898,93649.6889330898,93649.6889330898,96577.25141007041
2018-11-27,93652.58085089801,95880.18751169222,93652.58085089801,93652.58085089801,93652.58085089801,96580.23661554986
2018-11-28,93655.47276870623,95883.14162128126,93655.47276870623,93655.47276870623,93655.47276870623,96583.2218210293
2018-11-29,93658.36468651444,95886.09573087031,93658.36468651444,93658.36468651444,93658.36468651444,96586.20702650875
2018-11-30,93661.25660432265,95745.58541134991,93661.25660432265,93661.25660432265,93661.25660432265,96444.90800614099
2018-12-03,93671.79235774731,95325.58247403301,93671.79235774731,93671.79235774731,93671.79235774731,96022.50505203943
2018-12-04,93674.68427555553,95427.44826621789,93674.68427555553,93674.68427555553,93674.68427555553,96124.95293446536
2018-12-05,93677.57619336374,95430.40237580694,93677.57619336374,93677.57619336374,93677.57619336374,96127.9381399448
2018-12-06,93680.46811117195,95433.35648539598,93680.46811117195,93680.46811117195,93680.46811117195,96130.92334542425
2018-12-07,93683.36002898017,95436.31059498503,93683.36002898017,93683.36002898017,93683.36002898017,96133.9085509037
2018-12-10,93693.89578240483,95447.07292375216,93693.89578240483,93693.89578240483,93693.89578240483,96144.78416734205
2018-12-11,93696.78770021304,95450.0270333412,93696.78770021304,93696.78770021304,93696.78770021304,96147.7693728215
2018-12-12,93699.67961802126,95103.32246356059,93699.67961802126,93699.67961802126,93699.67961802126,95798.05538867589
2018-12-13,93702.57153582947,95034.31923918772,93702.57153582947,93702.57153582947,93702.57153582947,95728.452136265
2018-12-14,93705.46345363768,94930.81851534892,93705.46345363768,93705.46345363768,93705.46345363768,95624.05140613194
2018-12-17,93715.99920706234,94965.32424025584,93715.99920706234,93715.99920706234,93715.99920706234,95658.85718082066
2018-12-18,93718.89112487056,95482.81963400889,93718.89112487056,93718.89112487056,93718.89112487056,96180.85253451939
2018-12-19,93721.78304267877,95793.32180552531,93721.78304267877,93721.78304267877,93721.78304267877,96494.05472491856
2018-12-20,93724.67496048698,95793.32180552531,93724.67496048698,93724.67496048698,93724.67496048698,96494.05472491856
2018-12-21,93727.5668782952,96414.32614855813,93727.5668782952,93727.5668782952,93727.5668782952,97120.45910571689
2018-12-24,93738.10263171986,96759.3258195405,93738.10263171986,93738.10263171986,93738.10263171986,97468.45877383824
2018-12-25,93740.99454952807,97518.32016043711,93740.99454952807,93740.99454952807,93740.99454952807,98234.05306552525
2018-12-26,93743.88646733628,97483.82266097117,93743.88646733628,93743.88646733628,93743.88646733628,98199.25558780308
2018-12-27,93746.7783851445,97138.82298998881,93746.7783851445,93746.7783851445,93746.7783851445,97851.25591968175
2018-12-28,93749.67030295271,97725.32160811474,93749.67030295271,93749.67030295271,93749.67030295271,98442.85452579138
2019-01-02,93767.84989199381,98104.81877856304,93767.84989199381,93767.84989199381,93767.84989199381,98825.65167163489
2019-01-03,93770.74180980203,99174.32351641703,93770.74180980203,93770.74180980203,93770.74180980203,99904.4564506876
2019-01-04,93773.63372761024,98656.819897223,93773.63372761024,93773.63372761024,93773.63372761024,99382.45280002232
2019-01-07,93784.1694810349,98242.82522730876,93784.1694810349,93784.1694810349,93784.1694810349,98964.85817645665
2019-01-08,93787.06139884311,97794.32483248759,93787.06139884311,93787.06139884311,93787.06139884311,98512.45777820225
2019-01-09,93789.95331665133,97414.8194365983,93789.95331665133,93789.95331665133,93789.95331665133,98129.6523353922
2019-01-10,93792.84523445954,97621.82088427592,93792.84523445954,93792.84523445954,93792.84523445954,98338.45379565831
2019-01-11,93795.73715226776,97000.82476668406,93795.73715226776,93795.73715226776,93795.73715226776,97712.05771182652
2019-01-14,93806.27290569241,97069.81976561595,93806.27290569241,93806.27290569241,93806.27290569241,97781.65266727086
2019-01-15,93809.16482350063,96862.82654337931,93809.16482350063,93809.16482350063,93809.16482350063,97572.8595039713
2019-01-16,93812.05674130884,96855.7008513302,93812.05674130884,93812.05674130884,93812.05674130884,97565.67184938263
2019-01-17,93814.94865911706,96858.68605680965,93814.94865911706,93814.94865911706,93814.94865911706,97568.6881507525
2019-01-18,93817.84057692527,96861.67126228909,93817.84057692527,93817.84057692527,93817.84057692527,97571.70445212236
2019-01-21,93828.37633034993,96872.54687872744,93828.37633034993,93828.37633034993,93828.37633034993,97582.69335623195
2019-01-22,93831.26824815814,96875.53208420689,93831.26824815814,93831.26824815814,93831.26824815814,97585.70965760181
2019-01-23,93834.16016596636,96878.51728968634,93834.16016596636,93834.16016596636,93834.16016596636,97588.72595897167
2019-01-24,93837.05208377457,96736.567721634,93837.05208377457,93837.05208377457,93837.05208377457,97445.54718443121
2019-01-25,93839.94400158279,96591.70250010105,93839.94400158279,93839.94400158279,93839.94400158279,97299.42226531972
2019-01-28,93733.94731142982,96486.04567296177,93733.94731142982,93733.94731142982,93733.94731142982,97193.87872585168
2019-01-29,94083.33812410972,96835.52977331291,94083.33812410972,94083.33812410972,94083.33812410972,97543.36282620282
2019-01-30,93762.64077532201,96514.92571219645,93762.64077532201,93762.64077532201,93762.64077532201,97222.78986097676
2019-01-31,94518.03684893351,97270.41507347916,94518.03684893351,94518.03684893351,94518.03684893351,97978.27922225947
2019-02-01,95734.17919044603,98513.85782813594,95734.17919044603,95734.17919044603,95734.17919044603,99228.52375828451
2019-02-11,96587.678376485,99391.35699128672,96587.678376485,96587.678376485,96587.678376485,100112.02291571326
2019-02-12,97668.77463226426,100502.85314178035,97668.77463226426,97668.77463226426,97668.77463226426,101231.11903988547
2019-02-13,99432.67566328157,102316.35420178935,99432.67566328157,99432.67566328157,99432.67566328157,103057.0201071424
2019-02-14,99717.17539196124,102608.85392283963,99717.17539196124,99717.17539196124,99717.17539196124,103351.51982628532
2019-02-15,97498.08022146333,100327.35888814494,97498.08022146333,97498.08022146333,97498.08022146333,101054.42482554144
2019-02-18,100912.07696561921,103837.35554074809,100912.07696561921,100912.07696561921,100912.07696561921,104588.42145525641
2019-02-19,100684.4798958789,103603.35855340524,100684.4798958789,100684.4798958789,100684.4798958789,104352.82448851292
2019-02-20,100855.17430667985,103778.85280704066,100855.17430667985,100855.17430667985,100855.17430667985,104529.51870285696
2019-02-21,99830.97392683137,102725.85241651103,99830.97392683137,99830.97392683137,99830.97392683137,103469.31830965704
2019-02-22,101424.17376403917,104363.85224914119,101424.17376403917,101424.17376403917,101424.17376403917,105118.51814114279
2019-02-25,106303.47398277231,109431.95251670245,106303.47398277231,106303.47398277231,106303.47398277231,110233.81842091109
2019-02-26,105722.19282247082,108823.47142048788,105722.19282247082,105722.19282247082,105722.19282247082,109618.53734071825
2019-02-27,105533.68834572921,108631.766984945,105533.68834572921,105533.68834572921,105533.68834572921,109426.03291547504
2019-02-28,105501.28658079478,108593.25422813394,105501.28658079478,105501.28658079478,105501.28658079478,109385.99241069483
2019-03-01,105504.55164928794,108596.61258429833,105504.55164928794,105504.55164928794,105504.55164928794,109389.38186274962
2019-03-04,105516.44685476739,108608.84765279148,105516.44685476739,105516.44685476739,105516.44685476739,109401.730218914
2019-03-05,105519.71192326055,108612.20600895587,105519.71192326055,105519.71192326055,105519.71192326055,109405.1196709688
2019-03-06,105522.9769917537,108615.56436512026,105522.9769917537,105522.9769917537,105522.9769917537,109408.50912302358
2019-03-07,105526.24206024686,108618.92272128465,105526.24206024686,105526.24206024686,105526.24206024686,109411.89857507838
2019-03-08,105529.50712874002,108622.28107744904,105529.50712874002,105529.50712874002,105529.50712874002,109415.28802713317
2019-03-11,105541.40233421947,108634.51614594218,105541.40233421947,105541.40233421947,105541.40233421947,109427.63638329755
2019-03-12,105544.66740271263,108637.87450210657,105544.66740271263,105544.66740271263,105544.66740271263,109431.02583535234
2019-03-13,105547.93247120579,108641.23285827096,105547.93247120579,105547.93247120579,105547.93247120579,109434.41528740713
2019-03-14,105551.19753969894,108644.59121443535,105551.19753969894,105551.19753969894,105551.19753969894,109437.80473946192
2019-03-15,105554.4626081921,108647.94957059974,105554.4626081921,105554.4626081921,105554.4626081921,109441.19419151671
2019-03-18,105566.35781367155,108660.18463909288,105566.35781367155,105566.35781367155,105566.35781367155,109453.54254768109
2019-03-19,105569.62288216471,108663.54299525727,105569.62288216471,105569.62288216471,105569.62288216471,109456.93199973588
2019-03-20,105572.88795065787,108666.90135142166,105572.88795065787,105572.88795065787,105572.88795065787,109460.32145179067
2019-03-21,105576.15301915102,108670.25970758605,105576.15301915102,105576.15301915102,105576.15301915102,109463.71090384547
2019-03-22,105579.41808764418,108673.61806375044,105579.41808764418,105579.41808764418,105579.41808764418,109467.10035590026
2019-03-25,105591.31329312363,108685.85313224359,105591.31329312363,105591.31329312363,105591.31329312363,109479.44871206464
2019-03-26,105594.57836161679,108689.21148840798,105594.57836161679,105594.57836161679,105594.57836161679,109482.83816411943
2019-03-27,105597.84343010995,108692.56984457237,105597.84343010995,105597.84343010995,105597.84343010995,109486.22761617422
2019-03-28,105601.1084986031,108695.92820073676,105601.1084986031,105601.1084986031,105601.1084986031,109489.61706822901
2019-03-29,105604.37356709626,108699.28655690115,105604.37356709626,105604.37356709626,105604.37356709626,109493.0065202838
2019-04-01,105616.26877257571,108711.52162539429,105616.26877257571,105616.26877257571,105616.26877257571,109505.35487644818
2019-04-02,105619.53384106887,108714.87998155868,105619.53384106887,105619.53384106887,105619.53384106887,109508.74432850297
2019-04-03,105622.79890956203,108718.23833772307,105622.79890956203,105622.79890956203,105622.79890956203,109512.13378055776
2019-04-04,105626.06397805519,108721.59669388746,105626.06397805519,105626.06397805519,105626.06397805519,109515.52323261256
2019-04-08,105642.27425202778,108738.270118545,105642.27425202778,105642.27425202778,105642.27425202778,109532.35104083174
2019-04-09,105645.53932052094,108741.62847470939,105645.53932052094,105645.53932052094,105645.53932052094,109535.74049288653
2019-04-10,105648.8043890141,108744.98683087378,105648.8043890141,105648.8043890141,105648.8043890141,109539.12994494132
2019-04-11,105652.06945750726,108748.34518703817,105652.06945750726,105652.06945750726,105652.06945750726,109542.51939699611
2019-04-12,105655.33452600041,108751.70354320256,105655.33452600041,105655.33452600041,105655.33452600041,109545.9088490509
2019-04-15,105667.22973147986,108763.9386116957,105667.22973147986,105667.22973147986,105667.22973147986,109558.25720521528
2019-04-16,105670.49479997302,108767.2969678601,105670.49479997302,105670.49479997302,105670.49479997302,109561.64665727007
2019-04-17,105673.75986846618,108770.65532402448,105673.75986846618,105673.75986846618,105673.75986846618,109565.03610932486
2019-04-18,105677.02493695934,108774.01368018887,105677.02493695934,105677.02493695934,105677.02493695934,109568.42556137966
2019-04-19,105680.2900054525,108777.37203635326,105680.2900054525,105680.2900054525,105680.2900054525,109571.81501343445
2019-04-22,105692.18521093194,108789.60710484641,105692.18521093194,105692.18521093194,105692.18521093194,109584.16336959883
2019-04-23,105695.4502794251,108792.9654610108,105695.4502794251,105695.4502794251,105695.4502794251,109587.55282165362
2019-04-24,105698.71534791826,108796.32381717519,105698.71534791826,105698.71534791826,105698.71534791826,109590.94227370841
2019-04-25,105701.98041641142,108799.68217333958,105701.98041641142,105701.98041641142,105701.98041641142,109594.3317257632
2019-04-26,105705.24548490458,108803.04052950397,105705.24548490458,105705.24548490458,105705.24548490458,109597.72117781799
2019-04-29,105717.14069038403,108815.27559799711,105717.14069038403,105717.14069038403,105717.14069038403,109610.06953398237
2019-04-30,105720.40575887718,108818.6339541615,105720.40575887718,105720.40575887718,105720.40575887718,109613.45898603716
2019-05-06,105745.24616983609,108844.1840911478,105745.24616983609,105745.24616983609,105745.24616983609,109639.24569836594
2019-05-07,105748.51123832924,108847.5424473122,105748.51123832924,105748.51123832924,105748.51123832924,109642.63515042073
2019-05-08,105751.7763068224,108850.90080347659,105751.7763068224,105751.7763068224,105751.7763068224,109646.02460247552
2019-05-09,105755.04137531556,108854.25915964098,105755.04137531556,105755.04137531556,105755.04137531556,109649.41405453031
2019-05-10,105758.30644380872,108857.61751580537,105758.30644380872,105758.30644380872,105758.30644380872,109652.8035065851
2019-05-13,105770.20164928817,108869.85258429851,105770.20164928817,105770.20164928817,105770.20164928817,109665.15186274948
2019-05-14,105773.46671778132,108873.2109404629,105773.46671778132,105773.46671778132,105773.46671778132,109827.39397849013
2019-05-15,105776.73178627448,108876.56929662729,105776.73178627448,105776.73178627448,105776.73178627448,110347.50397847785
2019-05-16,105779.99685476764,108879.92765279168,105779.99685476764,105779.99685476764,105779.99685476764,110350.92452642306
2019-05-17,105783.2619232608,108883.28600895607,105783.2619232608,105783.2619232608,105783.2619232608,110354.34507436826
2019-05-20,105364.61944188886,108452.17649527593,105364.61944188886,105364.61944188886,105364.61944188886,110366.80671820388
2019-05-21,104907.4185153466,107981.37554117247,104907.4185153466,104907.4185153466,104907.4185153466,110370.22726614909
2019-05-22,105136.02238502319,108216.77952595755,105136.02238502319,105136.02238502319,105136.02238502319,110373.64781409429
2019-05-23,104335.91906037147,107392.8761024098,104335.91906037147,104335.91906037147,104335.91906037147,109566.54347599177
2019-05-24,103764.41960539635,106804.37666364716,103764.41960539635,103764.41960539635,103764.41960539635,108966.04404867321
2019-05-27,103453.49327637925,106484.20143245456,103453.49327637925,103453.49327637925,103453.49327637925,108639.34018065086
2019-05-28,103456.69615309157,106365.468166557,103456.69615309157,103456.69615309157,103456.69615309157,108518.04481771088
2019-05-29,103459.8990298039,106625.86703130307,103459.8990298039,103459.8990298039,103459.8990298039,108784.0436580429
2019-05-30,103463.10190651623,106105.06043263976,103463.10190651623,103463.10190651623,103463.10190651623,108252.03691747284
2019-05-31,103466.30478322855,107258.26554128234,103466.30478322855,103466.30478322855,103466.30478322855,109430.0421359787
2019-06-03,103477.97341336554,108597.46603795592,103477.97341336554,103477.97341336554,103477.97341336554,110798.04264333344
2019-06-04,103481.17629007787,109713.46497365538,103481.17629007787,103481.17629007787,103481.17629007787,111938.04155614472
2019-06-05,103484.3791667902,110420.26696034972,103484.3791667902,103484.3791667902,103484.3791667902,112660.04358556366
2019-06-06,103487.58204350252,110383.06078740662,103487.58204350252,103487.58204350252,103487.58204350252,112622.0372798691
2019-06-10,103503.48355035184,110048.26731511657,103503.48355035184,103503.48355035184,103503.48355035184,112280.0439479599
2019-06-11,103506.68642706417,109453.06610890929,103506.68642706417,103506.68642706417,103506.68642706417,111672.04271581268
2019-06-12,103509.8893037765,110755.06043263976,103509.8893037765,103509.8893037765,103509.8893037765,113002.03691747284
2019-06-13,102980.74229258526,110941.0646898419,102980.74229258526,102980.74229258526,102980.74229258526,113192.04126622772
2019-06-14,103426.33655566206,112615.06752797667,103426.33655566206,103426.33655566206,103426.33655566206,114902.04416539764
2019-06-17,103649.14032715786,111164.26625081603,103649.14032715786,103649.14032715786,103649.14032715786,113420.04286077118
2019-06-18,103426.33655566206,111945.46284505431,103426.33655566206,103426.33655566206,103426.33655566206,114218.03938176727
2019-06-19,104317.53836173045,111387.46781179015,104317.53836173045,104317.53836173045,104317.53836173045,113648.04445531464
2019-06-20,104449.07608552126,113805.46107122008,104449.07608552126,104449.07608552126,104449.07608552126,116118.03756978607
2019-06-21,104452.310058124,114735.46461888854,104452.310058124,104452.310058124,104452.310058124,117068.04119374848
2019-06-24,104464.09197593221,115553.86738606993,104464.09197593221,104464.09197593221,104464.09197593221,117904.04402043915
2019-06-25,104467.32594853496,117971.86064549987,104467.32594853496,104467.32594853496,104467.32594853496,120374.03713491058
2019-06-26,104470.5599211377,115814.26625081603,104470.5599211377,104470.5599211377,104470.5599211377,118170.04286077118
2019-06-27,104473.79389374044,115516.66121312682,104473.79389374044,104473.79389374044,104473.79389374044,117866.03771474457
2019-06-28,104477.02786634318,115851.463554588,104477.02786634318,104477.02786634318,104477.02786634318,117866.37755166317
2019-07-01,104488.8097841514,113061.46178075377,104488.8097841514,104488.8097841514,104488.8097841514,120771.27026449465
2019-07-02,104179.51298902529,113221.13563951229,104179.51298902529,104179.51298902529,104179.51298902529,120266.07676874421
2019-07-03,104507.70876358052,113577.83104714133,104507.70876358052,104507.70876358052,104507.70876358052,120644.97189055706
2019-07-04,105382.910537224,114529.03297480321,105382.910537224,105382.910537224,105382.910537224,121655.37393819117
2019-07-05,105164.1133541872,114291.23603638387,105164.1133541872,105164.1133541872,105164.1133541872,121402.77719031596
2019-07-08,104617.10735509891,113696.72951635098,104617.10735509891,104617.10735509891,104617.10735509891,120771.27026449465
2019-07-09,104194.36239542646,113237.27452818779,104194.36239542646,104194.36239542646,104194.36239542646,120025.4895140257
2019-07-10,104197.5963680292,112888.43193440777,104197.5963680292,104197.5963680292,104197.5963680292,119947.68587842847
2019-07-11,104200.83034063195,114828.23095708233,104200.83034063195,104200.83034063195,104200.83034063195,122009.3848396864
2019-07-12,104204.06431323469,114059.63430791239,104204.06431323469,104204.06431323469,104204.06431323469,121192.48840108776
2019-07-15,104215.8462310429,114498.82865338665,104215.8462310429,104215.8462310429,104215.8462310429,121659.28239122297
2019-07-16,104219.08020364564,114389.02788548809,104219.08020364564,104219.08020364564,104219.08020364564,121542.58157506849
