,frozen_baseline,old_signal_raw_execution,economic_signal_raw_execution
2018-08-22,100172.5579452054,100172.5579452054,100172.5579452054
2018-08-23,100175.66753424649,100175.66753424649,100175.66753424649
2018-08-24,100178.77712328758,100178.77712328758,100178.77712328758
2018-08-27,100190.10589041086,100190.10589041086,100190.10589041086
2018-08-28,100193.21547945196,100193.21547945196,100193.21547945196
2018-08-29,100196.32506849305,100196.32506849305,100196.32506849305
2018-08-30,100199.43465753415,100199.43465753415,100199.43465753415
2018-08-31,100202.54424657524,100202.54424657524,100202.54424657524
2018-09-03,100213.87301369853,100213.87301369853,100213.87301369853
2018-09-04,100216.98260273962,100216.98260273962,100216.98260273962
2018-09-05,100220.09219178071,100220.09219178071,100220.09219178071
2018-09-06,100223.20178082181,100223.20178082181,100223.20178082181
2018-09-07,100226.3113698629,100226.3113698629,100226.3113698629
2018-09-10,100237.64013698619,100237.64013698619,100237.64013698619
2018-09-11,100240.74972602728,100240.74972602728,100240.74972602728
2018-09-12,100243.85931506837,100243.85931506837,100243.85931506837
2018-09-13,100246.96890410947,100246.96890410947,100246.96890410947
2018-09-14,100250.07849315056,100250.07849315056,100250.07849315056
2018-09-17,100261.40726027385,100261.40726027385,100261.40726027385
2018-09-18,100264.51684931494,100264.51684931494,100264.51684931494
2018-09-19,100267.62643835603,100267.62643835603,100267.62643835603
2018-09-20,100270.73602739713,100270.73602739713,100270.73602739713
2018-09-21,101212.37011856727,101210.54063610698,101210.54063610698
2018-09-25,100930.14634522356,100878.31449645889,100878.31449645889
2018-09-26,101738.72160268482,101662.99307165772,101662.99307165772
2018-09-27,101456.38846842574,101477.99349558381,101477.99349558381
2018-09-28,102886.93481946518,102915.38959469946,102915.38959469946
2018-10-08,99139.33963442376,99063.68954506073,99063.68954506073
2018-10-09,99139.33963442376,99167.79440965803,99167.79440965803
2018-10-10,99555.73427343897,99584.18904867324,99584.18904867324
2018-10-11,95808.13908839753,95732.49520387802,95732.49520387802
2018-10-12,97416.23070540244,97341.59254536494,97341.59254536494
2018-10-15,96800.89111528106,96777.9630959091,96777.9630959091
2018-10-16,96954.88703520519,96901.83541747005,96901.83541747005
2018-10-17,97104.47638333612,97029.35691439369,97029.35691439369
2018-10-18,97107.49268470598,97032.37321576355,97032.37321576355
2018-10-19,97110.50898607585,97035.38951713342,97035.38951713342
2018-10-22,97121.49789018543,97046.378421243,97046.378421243
2018-10-23,97124.5141915553,97049.39472261287,97049.39472261287
2018-10-24,97127.53049292516,97052.41102398273,97052.41102398273
2018-10-25,97130.54679429502,97055.42732535259,97055.42732535259
2018-10-26,97133.56309566488,97058.44362672245,97058.44362672245
2018-10-29,97144.55199977447,97069.43253083204,97069.43253083204
2018-10-30,97147.56830114433,97072.4488322019,97072.4488322019
2018-10-31,97150.5846025142,97075.46513357176,97075.46513357176
2018-11-01,97153.60090388406,97078.48143494163,97078.48143494163
2018-11-02,97156.61720525392,97081.49773631149,97081.49773631149
2018-11-05,97167.6061093635,97092.48664042108,97092.48664042108
2018-11-06,96851.70036823169,96776.58089928924,96776.58089928924
2018-11-07,96396.49355049666,96223.19501006234,96223.19501006234
2018-11-08,97189.69515796239,97015.19071423638,97015.19071423638
2018-11-09,94215.19208486612,94045.19354664913,94045.19354664913
2018-11-12,93943.14977467107,93871.84995679001,93871.84995679001
2018-11-13,93608.37400158298,93502.94037999163,93502.94037999163
2018-11-14,93611.2659193912,93505.83229779985,93505.83229779985
2018-11-15,93614.15783719941,93508.72421560806,93508.72421560806
2018-11-16,93617.04975500763,93511.61613341628,93511.61613341628
2018-11-19,93627.58550843228,93522.15188684093,93522.15188684093
2018-11-20,93630.4774262405,93525.04380464915,93525.04380464915
2018-11-21,93633.36934404871,93527.93572245736,93527.93572245736
2018-11-22,93636.26126185693,93530.82764026558,93530.82764026558
2018-11-23,93639.15317966514,93533.71955807379,93533.71955807379
2018-11-26,93649.6889330898,93544.25531149845,93544.25531149845
2018-11-27,93652.58085089801,93547.14722930666,93547.14722930666
2018-11-28,93655.47276870623,93550.03914711488,93550.03914711488
2018-11-29,93658.36468651444,93552.93106492309,93552.93106492309
2018-11-30,93661.25660432265,93555.8229827313,93555.8229827313
2018-12-03,93671.79235774731,93566.35873615596,93566.35873615596
2018-12-04,93674.68427555553,93569.25065396418,93569.25065396418
2018-12-05,93677.57619336374,93572.14257177239,93572.14257177239
2018-12-06,93680.46811117195,93575.0344895806,93575.0344895806
2018-12-07,93683.36002898017,93577.92640738882,93577.92640738882
2018-12-10,93693.89578240483,93588.46216081348,93588.46216081348
2018-12-11,93696.78770021304,93591.35407862169,93591.35407862169
2018-12-12,93699.67961802126,93594.2459964299,93594.2459964299
2018-12-13,93702.57153582947,93597.13791423812,93597.13791423812
2018-12-14,93705.46345363768,93600.02983204633,93600.02983204633
2018-12-17,93715.99920706234,93610.56558547099,93610.56558547099
2018-12-18,93718.89112487056,93613.4575032792,93613.4575032792
2018-12-19,93721.78304267877,93616.34942108742,93616.34942108742
2018-12-20,93724.67496048698,93619.24133889563,93619.24133889563
2018-12-21,93727.5668782952,93622.13325670385,93622.13325670385
2018-12-24,93738.10263171986,93632.6690101285,93632.6690101285
2018-12-25,93740.99454952807,93635.56092793672,93635.56092793672
2018-12-26,93743.88646733628,93638.45284574493,93638.45284574493
2018-12-27,93746.7783851445,93641.34476355315,93641.34476355315
2018-12-28,93749.67030295271,93644.23668136136,93644.23668136136
2019-01-02,93767.84989199381,93662.41627040246,93662.41627040246
2019-01-03,93770.74180980203,93665.30818821068,93665.30818821068
2019-01-04,93773.63372761024,93668.20010601889,93668.20010601889
2019-01-07,93784.1694810349,93678.73585944355,93678.73585944355
2019-01-08,93787.06139884311,93681.62777725176,93681.62777725176
2019-01-09,93789.95331665133,93684.51969505998,93684.51969505998
2019-01-10,93792.84523445954,93687.41161286819,93687.41161286819
2019-01-11,93795.73715226776,93690.3035306764,93690.3035306764
2019-01-14,93806.27290569241,93700.83928410106,93700.83928410106
2019-01-15,93809.16482350063,93703.73120190928,93703.73120190928
2019-01-16,93812.05674130884,93706.6231197175,93706.6231197175
2019-01-17,93814.94865911706,93709.5150375257,93709.5150375257
2019-01-18,93817.84057692527,93712.40695533392,93712.40695533392
2019-01-21,93828.37633034993,93722.94270875858,93722.94270875858
2019-01-22,93831.26824815814,93725.8346265668,93725.8346265668
2019-01-23,93834.16016596636,93728.72654437501,93728.72654437501
2019-01-24,93837.05208377457,93731.61846218322,93731.61846218322
2019-01-25,93839.94400158279,93734.51037999144,93734.51037999144
2019-01-28,93733.94731142982,93660.32334504512,93745.0461334161
2019-01-29,94083.33812410972,93871.19568534254,93870.73917158153
2019-01-30,93762.64077532201,93657.04489048179,93809.30996885823
2019-01-31,94518.03684893351,94125.76400189914,93812.20188666644
2019-02-01,95734.17919044603,94894.64461472438,93815.09380447466
2019-02-11,96587.678376485,95439.13976815151,95296.1672659493
2019-02-12,97668.77463226426,96128.84170678066,95987.3652334786
2019-02-13,99432.67566328157,97254.13803723262,97974.56539827352
2019-02-14,99717.17539196124,97435.64219143795,98089.7707815743
2019-02-15,97498.08022146333,96019.94094517635,96476.97094636923
2019-02-18,100912.07696561921,98197.93886807369,99270.56759553915
2019-02-19,100684.4798958789,98052.74073746608,99011.36578279501
2019-02-20,100855.17430667985,98161.64149907039,99270.56759553915
2019-02-21,99830.97392683137,97508.23692944454,99155.36907869345
2019-02-22,101424.17376403917,98524.64115288662,101804.96929842001
2019-02-25,106303.47398277231,101589.32288504663,108976.17138582237
2019-02-26,105722.19282247082,101212.79905453503,106528.17028718954
2019-02-27,105533.68834572921,101076.0914363499,105952.17083650596
2019-02-28,105501.28658079478,101053.7446077421,105750.57171541218
2019-03-01,105504.55164928794,101056.88529267361,107910.56622224813
2019-03-04,105516.44685476739,101068.32734746813,109033.76721101765
2019-03-05,105519.71192326055,101071.46803239964,109955.36907869345
2019-03-06,105522.9769917537,101074.60871733115,109790.85976974643
2019-03-07,105526.24206024686,101077.74940226266,109794.24922180122
2019-03-08,105529.50712874002,101080.89008719417,109797.63867385601
2019-03-11,105541.40233421947,101092.33214198869,109809.98703002039
2019-03-12,105544.66740271263,101095.4728269202,109813.37648207518
2019-03-13,105547.93247120579,101098.61351185171,109816.76593412997
2019-03-14,105551.19753969894,101101.75419678322,109820.15538618476
2019-03-15,105554.4626081921,101104.89488171473,109823.54483823956
2019-03-18,105566.35781367155,101116.33693650925,109835.89319440394
2019-03-19,105569.62288216471,101119.47762144076,109839.28264645873
2019-03-20,105572.88795065787,101122.61830637227,109842.67209851352
2019-03-21,105576.15301915102,101125.75899130378,109846.06155056831
2019-03-22,105579.41808764418,101128.89967623529,109849.4510026231
2019-03-25,105591.31329312363,101140.34173102981,109861.79935878748
2019-03-26,105594.57836161679,101143.48241596132,109865.18881084227
2019-03-27,105597.84343010995,101146.62310089283,109868.57826289706
2019-03-28,105601.1084986031,101149.76378582434,109871.96771495185
2019-03-29,105604.37356709626,101152.90447075585,109875.35716700664
2019-04-01,105616.26877257571,101164.34652555037,109887.70552317103
2019-04-02,105619.53384106887,101167.48721048188,109891.09497522582
2019-04-03,105622.79890956203,101170.62789541339,109894.48442728061
2019-04-04,105626.06397805519,101173.7685803449,109897.8738793354
2019-04-08,105642.27425202778,101189.36132007092,109914.70168755458
2019-04-09,105645.53932052094,101192.50200500243,109918.09113960937
2019-04-10,105648.8043890141,101195.64268993394,109921.48059166416
2019-04-11,105652.06945750726,101198.78337486545,109924.87004371895
2019-04-12,105655.33452600041,101201.92405979696,109928.25949577375
2019-04-15,105667.22973147986,101213.36611459148,109940.60785193813
2019-04-16,105670.49479997302,101216.50679952299,109943.99730399292
2019-04-17,105673.75986846618,101219.6474844545,109947.38675604771
2019-04-18,105677.02493695934,101222.78816938601,109950.7762081025
2019-04-19,105680.2900054525,101225.92885431752,109954.16566015729
2019-04-22,105692.18521093194,101237.37090911204,109966.51401632167
2019-04-23,105695.4502794251,101240.51159404355,109969.90346837646
2019-04-24,105698.71534791826,101243.65227897506,109973.29292043125
2019-04-25,105701.98041641142,101246.79296390657,109976.68237248604
2019-04-26,105705.24548490458,101249.93364883808,109980.07182454084
2019-04-29,105717.14069038403,101261.3757036326,109992.42018070522
2019-04-30,105720.40575887718,101264.51638856411,109995.80963276
2019-05-06,105745.24616983609,101288.41049815316,110021.59634508878
2019-05-07,105748.51123832924,101291.55118308467,110025.01689303399
2019-05-08,105751.7763068224,101294.69186801618,110028.43744097919
2019-05-09,105755.04137531556,101297.83255294769,110031.8579889244
2019-05-10,105758.30644380872,101300.9732378792,110035.2785368696
2019-05-13,105770.20164928817,101312.41529267372,110047.74018070522
2019-05-14,105773.46671778132,101315.55597760523,110051.16072865043
2019-05-15,105776.73178627448,101318.69666253673,110054.58127659564
2019-05-16,105779.99685476764,101321.83734746824,110058.00182454084
2019-05-17,105783.2619232608,101324.97803239975,110061.42237248605
2019-05-20,105364.61944188886,100869.63684040887,109566.13989961725
2019-05-21,104907.4185153466,100432.03595358712,109090.13893497568
2019-05-22,105136.02238502319,100650.83965737205,109328.14296377281
2019-05-23,104335.91906037147,99939.73903138025,108554.64228284937
2019-05-24,103764.41960539635,99392.73955304011,107959.6428502856
2019-05-27,103453.49327637925,99040.60403144314,107576.60695385013
2019-05-28,103456.69615309157,99043.68252459382,107579.9342141241
2019-05-29,103459.8990298039,99046.7610177445,107583.26147439808
2019-05-30,103463.10190651623,99049.83951089518,107586.58873467206
2019-05-31,103466.30478322855,99052.91800404586,107589.91599494603
2019-06-03,103477.97341336554,99064.13348349792,107602.03777576795
2019-06-04,103481.17629007787,99067.2119766486,107605.36503604193
2019-06-05,103484.3791667902,99070.29046979928,107608.6922963159
2019-06-06,103487.58204350252,99073.36896294996,107612.01955658988
2019-06-10,103503.48355035184,99088.6529355527,107628.53859768577
2019-06-11,103506.68642706417,99091.73142870338,107631.86585795974
2019-06-12,103509.8893037765,99094.80992185406,107635.19311823371
2019-06-13,102980.74229258526,98588.63635442636,107085.3178586674
2019-06-14,103426.33655566206,99068.33335540675,107606.41460082059
2019-06-17,103649.14032715786,99228.23447368524,107780.11581561092
2019-06-18,103426.33655566206,99068.33335540675,107606.41460082059
2019-06-19,104317.53836173045,99921.13508365533,108532.81647822383
2019-06-20,104449.07608552126,100047.00511378188,109111.81592604642
2019-06-21,104452.310058124,100050.11470282298,108958.18104710784
2019-06-24,104464.09197593221,100061.44346994626,108970.41611560098
2019-06-25,104467.32594853496,100064.55305898735,108973.77447176537
2019-06-26,104470.5599211377,100067.66264802845,108977.13282792976
2019-06-27,104473.79389374044,100070.77223706954,108980.49118409415
2019-06-28,104477.02786634318,100073.88182611064,108983.84954025854
2019-07-01,104488.8097841514,100085.21059323392,108996.08460875168
2019-07-02,104179.51298902529,99736.52811334678,108999.44296491607
2019-07-03,104507.70876358052,100050.93031213828,109002.80132108046
2019-07-04,105382.910537224,100889.32576463766,109006.19077313525
2019-07-05,105164.1133541872,100732.1309118087,108571.15297723278
2019-07-08,104617.10735509891,100155.72896287986,107950.75087953075
2019-07-09,104194.36239542646,99750.91653158932,107443.14732957348
2019-07-10,104197.5963680292,99753.99502474,107781.54969621167
2019-07-11,104200.83034063195,99757.07351789068,108740.34743714792
2019-07-12,104204.06431323469,99760.15201104135,109191.54835153087
2019-07-15,104215.8462310429,99771.36749049342,109699.15190148815
2019-07-16,104219.08020364564,99774.4459836441,109417.1521704243
2019-07-17,103695.53084979106,99221.75922052193,108740.34743714792
2019-07-18,102727.13049063733,98294.75887672235,107725.14706063732
2019-07-19,103803.12946448375,99324.76403371622,108853.15270829662
2019-07-22,103265.12997756053,98861.26079217721,108345.54915833935
2019-07-23,103695.53084979106,99273.26162711908,108796.75007272228
2019-07-24,104233.53033671426,99736.75872937967,109304.34689927562
2019-07-25,104771.52982363748,100251.76437751579,109868.35308480723
2019-07-26,104448.73397955945,99942.76221648982,109529.95071816907
2019-07-29,104986.73346648266,100457.76172534753,110093.95018029674
2019-07-30,104986.73346648266,100457.76172534753,110093.95018029674
2019-07-31,104879.12843833018,100354.76305143167,109981.15163255199
2019-08-01,103695.53084979106,99273.26162711908,108796.75007272228
2019-08-02,102606.3167599504,98191.04731602597,107690.0357849942
2019-08-05,102579.5240933261,98180.78426592327,107644.69777834271
2019-08-06,102582.695874148,98183.83166318355,107648.02503861669
2019-08-07,102585.86765496992,98186.87906044383,107651.35229889066
2019-08-08,102589.03943579183,98189.9264577041,107654.67955916464
2019-08-09,102592.21121661374,98192.97385496438,107658.00681943861
2019-08-12,102603.7665590795,98204.0760467452,107670.12860026053
2019-08-13,102606.9383399014,98207.12344400548,107673.45586053451
2019-08-14,102610.11012072332,98210.17084126576,107676.78312080848
2019-08-15,102613.28190154523,98213.21823852604,107680.11038108246
2019-08-16,102616.45368236714,98216.26563578632,107683.43764135643
2019-08-19,102628.00902483289,98227.36782756714,107695.55942217835
2019-08-20,101692.8119650937,97332.22119701206,106713.1689554409
2019-08-21,101431.21533308992,97081.82442081271,106438.37249338187
2019-08-22,101758.21502123841,97394.82412231265,106781.87216579475
2019-08-23,101823.61028109559,97457.41958511173,106850.5671864704
2019-08-26,100842.61121665008,96518.4204806119,105820.06816923177
2019-08-27,102608.41576968202,98208.6248387128,107674.97295200385
2019-08-28,102477.61745368013,98083.42645061313,107537.57472097434
2019-08-29,102019.8116532422,97645.220898512,107056.66862785377
2019-08-30,102585.33212565871,98186.52948525929,107650.72453695184
2019-09-02,102596.88746812446,98197.63167704012,107662.84631777376
2019-09-03,102600.05924894637,98200.6790743004,107666.17357804773
2019-09-04,102603.23102976829,98203.72647156067,107669.5008383217
2019-09-05,102606.4028105902,98206.77386882095,107672.82809859568
2019-09-06,102609.5745914121,98209.82126608123,107676.15535886966
2019-09-09,104404.93048283037,99927.6638230998,109560.55419587213
2019-09-10,103842.43399950441,99389.46718785353,108970.1578869732
2019-09-11,102404.93388029512,98014.06707379408,107461.35776185113
2019-09-12,102904.93489357409,98492.46804329939,107986.15882538873
2019-09-16,103154.93167492327,98731.66496369429,108248.55544709283
2019-09-17,101154.935072388,96818.06821438855,106149.35901307182
2019-09-18,101092.43215176043,96758.26541993208,106083.75594758111
2019-09-19,102654.9306616443,98253.26399418898,107723.75438355524
2019-09-20,102404.93388029512,98014.06707379408,107461.35776185113
2019-09-23,101279.93346306261,96937.66667458601,106280.55732392389
2019-09-24,101842.42994638857,97475.86330983229,106870.95363282281
2019-09-25,100717.42952915606,96399.46291062422,105690.15319489557
2019-09-26,97592.43250938828,93409.46576211041,102410.15632294731
2019-09-27,97315.59013503799,93144.67073308899,102119.55435994308
2019-09-30,97118.59267133483,92956.27315866425,101912.75702241104
2019-10-08,96232.09234255561,92061.37064325289,100930.45426133317
2019-10-09,95050.08994716415,90930.97396718933,99689.65790990036
2019-10-10,94877.3716037146,90801.44138595254,99573.92487681267
2019-10-11,94968.38448699703,90879.48538985218,99680.34580632707
2019-10-14,94979.03352809293,90889.68128026315,99691.56128577913
2019-10-15,94981.95654179156,90892.47991040013,99694.6397789298
2019-10-16,94984.87955549019,90895.27854053711,99697.71827208048
2019-10-17,94987.80256918882,90898.07717067409,99700.79676523116
2019-10-18,94990.72558288745,90900.87580081107,99703.87525838184
2019-10-21,95001.37462398334,90911.07169122204,99715.0907378339
2019-10-22,95004.32873357239,90913.87032135902,99718.16923098458
2019-10-23,95007.28284316143,90916.668951496,99721.24772413526
2019-10-24,95010.23695275048,90919.46758163298,99724.32621728594
2019-10-25,95013.19106233952,90922.26621176997,99727.40471043662
2019-10-28,95023.95339110665,90932.46210218093,99738.62018988868
2019-10-29,95026.9075006957,90935.26073231791,99741.69868303936
2019-10-30,95029.86161028474,90938.0593624549,99744.77717619004
2019-10-31,95032.81571987379,90940.85799259187,99747.85566934072
2019-11-01,95835.98247492044,91709.90438510252,100590.54607232637
2019-11-04,96366.07916080681,92217.50121165585,101146.74259503906
2019-11-05,97249.5853396627,93063.50712825131,102073.74907811706
2019-11-06,96601.68314897745,92443.1050305493,101393.94677957124
2019-11-07,97367.38382303446,93176.30567599607,102197.34748681611
2019-11-08,97013.9813514921,92837.90330935789,101826.54489358491
2019-11-11,94952.4833174917,90863.90519191099,99663.54695638246
2019-11-12,95011.37904846399,90920.3011040814,99725.34247716493
2019-11-13,95541.48275577753,91427.90465403868,100281.54636701173
2019-11-14,96130.48219406336,91991.90411616636,100899.545777641
2019-11-15,95188.08028423517,91089.5022874005,99910.74377378053
2019-11-18,94986.71020219811,90896.67932259761,99699.45903575183
2019-11-19,95180.35282127427,91090.19755811212,99893.25713428004
2019-11-20,94541.22838138946,90429.65027847365,99232.98971765526
2019-11-21,93964.31883460117,89853.55830035238,98657.17760254769
2019-11-22,94005.83893169754,89883.84971091198,98687.74887612098
2019-11-25,94515.37836648412,90438.85515531113,99241.4176379003
2019-11-26,95252.97986127326,91100.35978158524,99967.42271526236
2019-11-27,95529.58179570622,91409.05843576005,100306.22123821158
2019-11-28,95990.58135606236,91850.05801518967,100790.22077663321
2019-11-29,96082.78566457219,91938.26213677933,100887.02530010123
2019-12-02,97189.18241120763,92952.56222089341,102000.2253924169
2019-12-03,95621.77511311955,91453.1552394252,100354.61773021598
2019-12-04,94515.37836648412,90394.75835164596,99193.0211458959
2019-12-05,94607.58267499394,90482.96247323563,99289.82566936393
2019-12-06,94884.18460942693,90791.66112741044,99628.62419231315
2019-12-09,95806.18373013921,91629.55296834519,100548.21523769278
2019-12-10,95437.3774871964,91320.85431417038,100209.41671474357
2019-12-11,95345.18416978307,91232.66070684006,100112.62373073478
2019-12-12,95898.37704755252,91761.85389360001,100693.4162531652
2019-12-13,96174.97898198552,92026.45574410965,100983.81828411002
2019-12-16,96359.37660790868,92202.85347302964,101177.41579158683
2019-12-17,96662.99343196939,92482.98474170719,101509.14742113472
2019-12-18,96483.22835748678,92299.56265385618,101285.75545417829
2019-12-19,96486.21356296622,92302.42347577399,101288.8961391098
2019-12-20,96344.66488390556,92167.05672651016,101143.923680568
2019-12-23,95327.05776720634,91112.7557983943,99981.3891355434
2019-12-24,95835.86132555595,91680.45332341873,100604.38641947896
2019-12-25,95666.26350908866,91518.25541167938,100426.38871115835
2019-12-26,96344.66488390556,92085.95293670379,101049.3859950939
2019-12-27,94225.21049825235,90058.54487650623,98826.53247536882
2019-12-30,95831.81292859597,91595.54720156422,100511.4350241588
2019-12-31,95998.01409093423,91754.54831354847,100685.73624314531
2020-01-02,97937.01224175973,93609.54654448261,102719.23430384859
2020-01-03,97881.61625711007,93556.55038588276,102661.1385148929
2020-01-06,97292.52677711743,92992.98102776705,102043.3388977887
2020-01-07,97295.54307848729,92995.84184968486,102046.5106786106
2020-01-08,97298.55937985715,92998.70267160267,102049.68245943252
2020-01-09,97301.57568122701,93001.56349352049,102052.85424025443
2020-01-10,97304.59198259687,93004.4554113287,102056.02602107634
2020-01-13,97315.58088670646,93014.99116475336,102067.5813635421
2020-01-14,97318.59718807632,93017.88308256157,102070.753144364
2020-01-15,97321.61348944619,93020.77500036979,102073.92492518591
2020-01-16,97324.62979081605,93023.666918178,102077.09670600783
2020-01-17,97327.64609218591,93026.55883598622,102080.26848682974
2020-01-20,97338.6349962955,93037.09458941087,102091.82382929549
2020-01-21,97341.65129766536,93039.98650721909,102094.9956101174
2020-01-22,97344.66759903522,93042.8784250273,102098.16739093931
2020-01-23,97347.68390040509,93045.77034283552,102101.33917176122
2020-02-03,97390.56321547358,93086.88143872593,102146.42876080232
2020-02-04,97393.57951684344,93089.77335653415,102149.60054162423
2020-02-05,97396.5958182133,93092.66527434236,102152.77232244614
2020-02-06,97399.61211958317,93095.55719215058,102155.94410326805
2020-02-07,97402.62842095303,93098.44910995879,102159.11588408996
2020-02-10,97413.61732506262,93108.98486338345,102170.67122655571
2020-02-11,97416.63362643248,93111.87678119166,102173.84300737763
2020-02-12,97419.64992780234,93114.76869899988,102177.01478819954
2020-02-13,97422.6662291722,93117.66061680809,102180.18656902145
2020-02-14,97425.68253054206,93120.5525346163,102183.35834984336
2020-02-17,97436.67143465165,93131.08828804096,102194.91369230911
2020-02-18,97439.68773602151,93133.98020584918,102198.08547313102
2020-02-19,97442.70403739138,93136.87212365739,102201.25725395294
2020-02-20,97445.72033876124,93139.7640414656,102204.42903477485
2020-02-21,97448.7366401311,93142.65595927382,102207.60081559676
2020-02-24,97459.72554424069,93153.19171269848,102219.15615806251
2020-02-25,97462.74184561055,93156.08363050669,102222.32793888442
2020-02-26,97465.75814698041,93158.9755483149,102225.49971970633
2020-02-27,97468.77444835028,93161.86746612312,102228.67150052825
2020-02-28,97471.79074972014,93164.75938393133,102231.84328135016
2020-03-02,97482.77965382973,93175.29513735599,102243.39862381591
2020-03-03,97485.79595519959,93178.1870551642,102246.57040463782
2020-03-04,97488.81225656945,93181.07897297242,102249.74218545973
2020-03-05,97491.82855793931,93183.97089078063,102252.91396628165
2020-03-06,97494.84485930917,93186.86280858885,102256.08574710356
2020-03-09,97505.83376341876,93197.3985620135,102267.64108956931
2020-03-10,97508.85006478862,93200.29047982172,102270.81287039122
2020-03-11,97511.86636615849,93203.18239762993,102273.98465121313
2020-03-12,97514.88266752835,93206.07431543815,102277.15643203504
2020-03-13,97517.89896889821,93208.96623324636,102280.32821285696
2020-03-16,97528.8878730078,93219.50198667102,102291.88355532271
2020-03-17,97531.90417437766,93222.39390447924,102295.05533614462
2020-03-18,97534.92047574752,93225.28582228745,102298.22711696653
2020-03-19,97537.93677711739,93228.17774009566,102301.39889778844
2020-03-20,97540.95307848725,93231.06965790388,102304.57067861035
2020-03-23,97551.94198259684,93241.60541132854,102316.12602107611
2020-03-24,97554.9582839667,93244.49732913675,102319.29780189802
2020-03-25,97557.97458533656,93247.38924694496,102322.46958271993
2020-03-26,97560.99088670642,93250.28116475318,102325.64136354184
2020-03-27,97564.00718807628,93253.17308256139,102328.81314436375
2020-03-30,97574.99609218587,93263.70883598605,102340.36848682951
2020-03-31,97578.01239355573,93266.60075379426,102343.54026765142
2020-04-01,97581.0286949256,93269.49267160248,102346.71204847333
2020-04-02,97584.04499629546,93272.38458941069,102349.88382929524
2020-04-03,97587.06129766532,93275.2765072189,102353.05561011715
2020-04-07,97602.03650314477,93289.63417845179,102368.80273340482
2020-04-08,97605.05280451463,93292.52609626,102371.97451422673
2020-04-09,97608.0691058845,93295.41801406821,102375.14629504865
2020-04-10,97611.08540725436,93298.30993187643,102378.31807587056
2020-04-13,97622.07431136395,93308.84568530109,102389.87341833631
2020-04-14,97625.09061273381,93311.7376031093,102393.04519915822
2020-04-15,97628.10691410367,93314.62952091752,102396.21697998013
2020-04-16,97631.12321547353,93317.52143872573,102399.38876080204
2020-04-17,97634.1395168434,93320.41335653394,102402.56054162396
2020-04-20,97645.12842095298,93330.9491099586,102414.11588408971
2020-04-21,97648.14472232285,93333.84102776682,102417.28766491162
2020-04-22,97651.16102369271,93336.73294557503,102420.45944573353
2020-04-23,97654.17732506257,93339.62486338324,102423.63122655544
2020-04-24,97657.19362643243,93342.51678119146,102426.80300737736
2020-04-27,97668.18253054202,93353.05253461612,102438.35834984311
2020-04-28,97671.19883191188,93355.94445242433,102441.53013066502
2020-04-29,97674.21513328174,93358.83637023254,102444.70191148693
2020-04-30,97677.2314346516,93361.72828804076,102447.87369230884
2020-05-06,97700.17924287078,93383.72979489007,102472.00437724034
2020-05-07,97703.19554424065,93386.62171269828,102475.17615806226
2020-05-08,97706.21184561051,93389.5136305065,102478.34793888417
